['+0.01', '+0.94', '+0.35', '-0.08', '-0.01', '-0.04', '+0.00', '+0.00', 1]
['+0.12', '+0.38', '-0.17', '-0.46', '+0.16', '-0.12', '+0.00', '+0.00', 3]
['+0.12', '+0.38', '-0.16', '-0.44', '+0.16', '-0.11', '+0.00', '+0.00', 2]
['+0.12', '+0.37', '-0.15', '-0.43', '+0.15', '-0.09', '+0.00', '+0.00', 2]
['+0.11', '+0.37', '-0.15', '-0.42', '+0.15', '-0.08', '+0.00', '+0.00', 2]
['+0.11', '+0.36', '-0.15', '-0.41', '+0.14', '-0.07', '+0.00', '+0.00', 2]
['+0.11', '+0.35', '-0.14', '-0.40', '+0.14', '-0.06', '+0.00', '+0.00', 2]
['+0.11', '+0.35', '-0.13', '-0.43', '+0.14', '-0.10', '+0.00', '+0.00', 3]
['+0.11', '+0.34', '-0.15', '-0.39', '+0.13', '-0.10', '+0.00', '+0.00', 2]
['+0.11', '+0.34', '-0.14', '-0.37', '+0.13', '-0.09', '+0.00', '+0.00', 2]
['+0.11', '+0.33', '-0.14', '-0.40', '+0.12', '-0.09', '+0.00', '+0.00', 0]
['+0.10', '+0.32', '-0.16', '-0.38', '+0.12', '-0.11', '+0.00', '+0.00', 2]
['+0.10', '+0.32', '-0.18', '-0.38', '+0.11', '-0.12', '+0.00', '+0.00', 2]
['+0.10', '+0.31', '-0.19', '-0.38', '+0.10', '-0.12', '+0.00', '+0.00', 2]
['+0.10', '+0.31', '-0.19', '-0.35', '+0.10', '-0.11', '+0.00', '+0.00', 2]
['+0.10', '+0.30', '-0.19', '-0.35', '+0.09', '-0.11', '+0.00', '+0.00', 2]
['+0.09', '+0.30', '-0.19', '-0.37', '+0.09', '-0.11', '+0.00', '+0.00', 0]
['+0.09', '+0.29', '-0.18', '-0.35', '+0.08', '-0.09', '+0.00', '+0.00', 2]
['+0.09', '+0.29', '-0.19', '-0.35', '+0.08', '-0.10', '+0.00', '+0.00', 2]
['+0.09', '+0.28', '-0.19', '-0.34', '+0.07', '-0.10', '+0.00', '+0.00', 2]
['+0.09', '+0.28', '-0.21', '-0.31', '+0.07', '-0.11', '+0.00', '+0.00', 2]
['+0.08', '+0.27', '-0.21', '-0.33', '+0.06', '-0.11', '+0.00', '+0.00', 0]
['+0.08', '+0.27', '-0.20', '-0.32', '+0.06', '-0.10', '+0.00', '+0.00', 2]
['+0.08', '+0.26', '-0.20', '-0.35', '+0.05', '-0.10', '+0.00', '+0.00', 0]
['+0.08', '+0.26', '-0.21', '-0.33', '+0.05', '-0.10', '+0.00', '+0.00', 2]
['+0.08', '+0.25', '-0.22', '-0.30', '+0.04', '-0.11', '+0.00', '+0.00', 2]
['+0.07', '+0.25', '-0.22', '-0.32', '+0.04', '-0.11', '+0.00', '+0.00', 0]
['+0.07', '+0.24', '-0.23', '-0.30', '+0.03', '-0.11', '+0.00', '+0.00', 2]
['+0.07', '+0.24', '-0.23', '-0.33', '+0.03', '-0.11', '+0.00', '+0.00', 0]
['+0.07', '+0.23', '-0.23', '-0.31', '+0.02', '-0.11', '+0.00', '+0.00', 2]
['+0.06', '+0.23', '-0.24', '-0.30', '+0.01', '-0.12', '+0.00', '+0.00', 2]
['+0.06', '+0.22', '-0.24', '-0.25', '+0.01', '-0.12', '+0.00', '+0.00', 2]
['+0.06', '+0.22', '-0.24', '-0.28', '+0.00', '-0.12', '+0.00', '+0.00', 0]
['+0.06', '+0.22', '-0.24', '-0.31', '-0.00', '-0.12', '+0.00', '+0.00', 0]
['+0.05', '+0.21', '-0.22', '-0.28', '-0.01', '-0.10', '+0.00', '+0.00', 2]
['+0.05', '+0.21', '-0.22', '-0.31', '-0.01', '-0.10', '+0.00', '+0.00', 0]
['+0.05', '+0.20', '-0.21', '-0.27', '-0.02', '-0.09', '+0.00', '+0.00', 2]
['+0.05', '+0.20', '-0.21', '-0.30', '-0.02', '-0.09', '+0.00', '+0.00', 0]
['+0.05', '+0.19', '-0.22', '-0.29', '-0.03', '-0.10', '+0.00', '+0.00', 2]
['+0.04', '+0.19', '-0.21', '-0.25', '-0.03', '-0.09', '+0.00', '+0.00', 2]
['+0.04', '+0.19', '-0.21', '-0.28', '-0.04', '-0.09', '+0.00', '+0.00', 0]
['+0.04', '+0.18', '-0.19', '-0.25', '-0.04', '-0.08', '+0.00', '+0.00', 2]
['+0.04', '+0.18', '-0.19', '-0.28', '-0.05', '-0.08', '+0.00', '+0.00', 0]
['+0.04', '+0.17', '-0.20', '-0.24', '-0.05', '-0.09', '+0.00', '+0.00', 2]
['+0.03', '+0.17', '-0.20', '-0.27', '-0.06', '-0.09', '+0.00', '+0.00', 0]
['+0.03', '+0.17', '-0.19', '-0.25', '-0.06', '-0.09', '+0.00', '+0.00', 2]
['+0.03', '+0.16', '-0.19', '-0.27', '-0.06', '-0.09', '+0.00', '+0.00', 0]
['+0.03', '+0.16', '-0.20', '-0.26', '-0.07', '-0.10', '+0.00', '+0.00', 2]
['+0.03', '+0.15', '-0.21', '-0.26', '-0.08', '-0.12', '+0.00', '+0.00', 2]
['+0.02', '+0.15', '-0.20', '-0.22', '-0.08', '-0.11', '+0.00', '+0.00', 2]
['+0.02', '+0.15', '-0.21', '-0.25', '-0.08', '-0.06', '+0.00', '+0.00', 1]
['+0.02', '+0.14', '-0.22', '-0.22', '-0.09', '-0.08', '+0.00', '+0.00', 2]
['+0.02', '+0.14', '-0.22', '-0.25', '-0.09', '-0.08', '+0.00', '+0.00', 0]
['+0.01', '+0.14', '-0.21', '-0.21', '-0.10', '-0.08', '+0.00', '+0.00', 2]
['+0.01', '+0.13', '-0.21', '-0.23', '-0.10', '-0.08', '+0.00', '+0.00', 0]
['+0.01', '+0.13', '-0.21', '-0.23', '-0.10', '-0.09', '+0.00', '+0.00', 2]
['+0.01', '+0.13', '-0.21', '-0.21', '-0.11', '-0.09', '+0.00', '+0.00', 2]
['+0.01', '+0.12', '-0.21', '-0.24', '-0.11', '-0.09', '+0.00', '+0.00', 0]
['+0.00', '+0.12', '-0.21', '-0.23', '-0.12', '-0.09', '+0.00', '+0.00', 2]
['+0.00', '+0.12', '-0.18', '-0.20', '-0.12', '-0.08', '+0.00', '+0.00', 2]
['+0.00', '+0.11', '-0.18', '-0.22', '-0.12', '-0.08', '+0.00', '+0.00', 0]
['-0.00', '+0.11', '-0.16', '-0.20', '-0.13', '-0.07', '+0.00', '+0.00', 2]
['-0.00', '+0.11', '-0.16', '-0.23', '-0.13', '-0.07', '+0.00', '+0.00', 0]
['-0.00', '+0.10', '-0.14', '-0.23', '-0.13', '-0.05', '+0.00', '+0.00', 2]
['-0.01', '+0.10', '-0.13', '-0.19', '-0.14', '-0.05', '+0.00', '+0.00', 2]
['-0.01', '+0.10', '-0.14', '-0.22', '-0.14', '-0.02', '+0.00', '+0.00', 1]
['-0.01', '+0.09', '-0.12', '-0.22', '-0.14', '-0.01', '+0.00', '+0.00', 2]
['-0.01', '+0.09', '-0.11', '-0.20', '-0.14', '-0.00', '+0.00', '+0.00', 2]
['-0.01', '+0.09', '-0.10', '-0.19', '-0.14', '-0.00', '+0.00', '+0.00', 2]
['-0.01', '+0.09', '-0.07', '-0.16', '-0.14', '+0.01', '+0.00', '+0.00', 2]
['-0.01', '+0.08', '-0.07', '-0.19', '-0.14', '+0.01', '+0.00', '+0.00', 0]
['-0.01', '+0.08', '-0.04', '-0.15', '-0.14', '+0.03', '+0.00', '+0.00', 2]
['-0.01', '+0.08', '-0.04', '-0.17', '-0.13', '+0.03', '+0.00', '+0.00', 0]
['-0.01', '+0.08', '-0.03', '-0.17', '-0.13', '+0.04', '+0.00', '+0.00', 2]
['-0.01', '+0.07', '-0.03', '-0.14', '-0.13', '+0.03', '+0.00', '+0.00', 2]
['-0.01', '+0.07', '-0.03', '-0.17', '-0.13', '+0.03', '+0.00', '+0.00', 0]
['-0.01', '+0.07', '-0.01', '-0.14', '-0.13', '+0.03', '+0.00', '+0.00', 2]
['-0.01', '+0.07', '-0.01', '-0.17', '-0.13', '+0.03', '+0.00', '+0.00', 0]
['-0.01', '+0.06', '-0.00', '-0.13', '-0.13', '+0.02', '+0.00', '+0.00', 2]
['-0.01', '+0.06', '-0.00', '-0.15', '-0.13', '+0.02', '+0.00', '+0.00', 0]
['-0.01', '+0.06', '-0.00', '-0.18', '-0.12', '+0.02', '+0.00', '+0.00', 0]
['-0.01', '+0.06', '-0.00', '-0.16', '-0.12', '+0.02', '+0.00', '+0.00', 2]
['-0.01', '+0.06', '+0.01', '-0.12', '-0.12', '+0.02', '+0.00', '+0.00', 2]
['-0.01', '+0.05', '+0.01', '-0.15', '-0.12', '+0.02', '+0.00', '+0.00', 0]
['-0.01', '+0.05', '+0.02', '-0.11', '-0.12', '+0.02', '+0.00', '+0.00', 2]
['-0.01', '+0.05', '+0.02', '-0.14', '-0.12', '+0.02', '+0.00', '+0.00', 0]
['-0.01', '+0.05', '+0.02', '-0.16', '-0.12', '+0.02', '+0.00', '+0.00', 0]
['-0.01', '+0.04', '+0.04', '-0.13', '-0.12', '+0.03', '+0.00', '+0.00', 2]
['-0.01', '+0.04', '+0.04', '-0.16', '-0.12', '+0.03', '+0.00', '+0.00', 0]
['-0.01', '+0.04', '+0.06', '-0.15', '-0.11', '+0.04', '+0.00', '+0.00', 2]
['-0.01', '+0.04', '+0.07', '-0.14', '-0.11', '+0.04', '+0.00', '+0.00', 2]
['-0.01', '+0.04', '+0.07', '-0.12', '-0.11', '+0.04', '+0.00', '+0.00', 2]
['-0.01', '+0.03', '+0.06', '-0.15', '-0.11', '+0.08', '+0.00', '+0.00', 1]
['-0.01', '+0.03', '+0.06', '-0.14', '-0.10', '+0.08', '+0.00', '+0.00', 2]
['-0.01', '+0.03', '+0.06', '-0.14', '-0.10', '+0.07', '+0.00', '+0.00', 2]
['-0.01', '+0.03', '+0.05', '-0.13', '-0.10', '+0.05', '+0.00', '+0.00', 2]
['-0.01', '+0.03', '+0.06', '-0.10', '-0.09', '+0.06', '+0.00', '+0.00', 2]
['-0.01', '+0.02', '+0.06', '-0.12', '-0.09', '+0.06', '+0.00', '+0.00', 0]
['-0.01', '+0.02', '+0.07', '-0.12', '-0.09', '+0.06', '+0.00', '+0.00', 2]
['-0.00', '+0.02', '+0.07', '-0.14', '-0.08', '+0.06', '+0.00', '+0.00', 0]
['-0.00', '+0.02', '+0.09', '-0.13', '-0.08', '+0.07', '+0.00', '+0.00', 2]
['-0.00', '+0.02', '+0.09', '-0.12', '-0.08', '+0.08', '+0.00', '+0.00', 2]
['-0.00', '+0.01', '+0.09', '-0.12', '-0.07', '+0.07', '+0.00', '+0.00', 2]
['-0.00', '+0.01', '+0.09', '-0.11', '-0.07', '+0.07', '+0.00', '+0.00', 2]
['-0.00', '+0.01', '+0.09', '-0.14', '-0.07', '+0.07', '+0.00', '+0.00', 0]
['+0.00', '+0.01', '+0.08', '-0.12', '-0.06', '+0.05', '+0.00', '+0.00', 2]
['+0.00', '+0.01', '+0.08', '-0.09', '-0.06', '+0.05', '+0.00', '+0.00', 2]
['+0.00', '+0.01', '+0.08', '-0.12', '-0.06', '+0.05', '+0.00', '+0.00', 0]
['+0.00', '+0.00', '+0.08', '-0.12', '-0.06', '+0.05', '+0.00', '+0.00', 2]
['+0.00', '+0.00', '+0.07', '-0.09', '-0.04', '+0.33', '+1.00', '+0.00', 2]
['+0.00', '+0.00', '+0.07', '-0.11', '-0.02', '+0.40', '+1.00', '+0.00', 0]
['+0.01', '-0.00', '+0.07', '-0.09', '-0.00', '+0.39', '+1.00', '+0.00', 2]
['+0.01', '-0.00', '+0.07', '-0.12', '+0.02', '+0.41', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '+0.07', '-0.10', '+0.03', '+0.13', '+0.00', '+1.00', 2]
['+0.01', '-0.00', '+0.07', '-0.04', '+0.03', '+0.13', '+1.00', '+1.00', 2]
['+0.01', '-0.00', '+0.06', '-0.02', '+0.04', '+0.07', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '+0.05', '+0.00', '+0.04', '-0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '+0.04', '+0.02', '+0.03', '-0.07', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '+0.04', '+0.03', '+0.03', '-0.11', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '+0.04', '+0.04', '+0.02', '-0.12', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '+0.04', '+0.04', '+0.02', '-0.12', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '+0.04', '+0.03', '+0.01', '-0.10', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '+0.03', '+0.02', '+0.01', '-0.08', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '+0.03', '+0.02', '+0.00', '-0.06', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '+0.02', '+0.01', '+0.00', '-0.05', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '+0.02', '+0.01', '-0.00', '-0.02', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '+0.02', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '+0.01', '-0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '+0.00', '-0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '-0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '+0.00', '-0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '+0.00', '-0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '-0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '-0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.01', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['-0.01', '+0.93', '-0.54', '-0.50', '+0.01', '+0.08', '+0.00', '+0.00', 3]
['-0.02', '+0.92', '-0.53', '-0.53', '+0.01', '+0.05', '+0.00', '+0.00', 3]
['-0.02', '+0.91', '-0.52', '-0.56', '+0.01', '+0.01', '+0.00', '+0.00', 3]
['-0.03', '+0.90', '-0.51', '-0.58', '+0.01', '-0.02', '+0.00', '+0.00', 3]
['-0.03', '+0.89', '-0.50', '-0.61', '+0.01', '-0.06', '+0.00', '+0.00', 3]
['-0.04', '+0.88', '-0.49', '-0.64', '+0.00', '-0.10', '+0.00', '+0.00', 3]
['-0.04', '+0.87', '-0.49', '-0.66', '-0.00', '-0.13', '+0.00', '+0.00', 3]
['-0.05', '+0.86', '-0.47', '-0.69', '-0.01', '-0.18', '+0.00', '+0.00', 3]
['-0.05', '+0.85', '-0.47', '-0.72', '-0.02', '-0.18', '+0.00', '+0.00', 0]
['-0.06', '+0.84', '-0.47', '-0.74', '-0.03', '-0.18', '+0.00', '+0.00', 0]
['-0.06', '+0.83', '-0.47', '-0.77', '-0.04', '-0.18', '+0.00', '+0.00', 0]
['-0.07', '+0.82', '-0.47', '-0.80', '-0.05', '-0.18', '+0.00', '+0.00', 0]
['-0.07', '+0.80', '-0.47', '-0.82', '-0.06', '-0.18', '+0.00', '+0.00', 0]
['-0.08', '+0.79', '-0.47', '-0.85', '-0.06', '-0.18', '+0.00', '+0.00', 0]
['-0.08', '+0.78', '-0.46', '-0.84', '-0.07', '-0.17', '+0.00', '+0.00', 2]
['-0.08', '+0.77', '-0.46', '-0.80', '-0.08', '-0.17', '+0.00', '+0.00', 2]
['-0.09', '+0.75', '-0.46', '-0.83', '-0.09', '-0.17', '+0.00', '+0.00', 0]
['-0.09', '+0.74', '-0.47', '-0.83', '-0.10', '-0.18', '+0.00', '+0.00', 2]
['-0.10', '+0.73', '-0.46', '-0.79', '-0.11', '-0.18', '+0.00', '+0.00', 2]
['-0.10', '+0.72', '-0.45', '-0.79', '-0.12', '-0.18', '+0.00', '+0.00', 2]
['-0.11', '+0.71', '-0.44', '-0.75', '-0.13', '-0.18', '+0.00', '+0.00', 2]
['-0.11', '+0.70', '-0.42', '-0.72', '-0.14', '-0.18', '+0.00', '+0.00', 2]
['-0.12', '+0.68', '-0.42', '-0.75', '-0.14', '-0.18', '+0.00', '+0.00', 0]
['-0.12', '+0.67', '-0.41', '-0.75', '-0.15', '-0.17', '+0.00', '+0.00', 2]
['-0.12', '+0.66', '-0.42', '-0.74', '-0.16', '-0.19', '+0.00', '+0.00', 2]
['-0.13', '+0.65', '-0.41', '-0.74', '-0.17', '-0.18', '+0.00', '+0.00', 2]
['-0.13', '+0.64', '-0.39', '-0.73', '-0.18', '-0.17', '+0.00', '+0.00', 2]
['-0.14', '+0.63', '-0.39', '-0.73', '-0.19', '-0.18', '+0.00', '+0.00', 2]
['-0.14', '+0.62', '-0.36', '-0.69', '-0.20', '-0.17', '+0.00', '+0.00', 2]
['-0.14', '+0.61', '-0.36', '-0.68', '-0.21', '-0.18', '+0.00', '+0.00', 2]
['-0.15', '+0.60', '-0.37', '-0.70', '-0.21', '-0.15', '+0.00', '+0.00', 1]
['-0.15', '+0.59', '-0.35', '-0.69', '-0.22', '-0.15', '+0.00', '+0.00', 2]
['-0.15', '+0.58', '-0.32', '-0.66', '-0.23', '-0.14', '+0.00', '+0.00', 2]
['-0.16', '+0.57', '-0.31', '-0.65', '-0.24', '-0.14', '+0.00', '+0.00', 2]
['-0.16', '+0.56', '-0.30', '-0.65', '-0.24', '-0.14', '+0.00', '+0.00', 2]
['-0.16', '+0.55', '-0.30', '-0.62', '-0.25', '-0.16', '+0.00', '+0.00', 2]
['-0.17', '+0.54', '-0.31', '-0.65', '-0.26', '-0.13', '+0.00', '+0.00', 1]
['-0.17', '+0.53', '-0.30', '-0.63', '-0.26', '-0.14', '+0.00', '+0.00', 2]
['-0.17', '+0.52', '-0.29', '-0.59', '-0.27', '-0.15', '+0.00', '+0.00', 2]
['-0.18', '+0.51', '-0.30', '-0.62', '-0.28', '-0.10', '+0.00', '+0.00', 1]
['-0.18', '+0.50', '-0.29', '-0.60', '-0.28', '-0.11', '+0.00', '+0.00', 2]
['-0.18', '+0.49', '-0.28', '-0.57', '-0.29', '-0.12', '+0.00', '+0.00', 2]
['-0.18', '+0.49', '-0.25', '-0.53', '-0.29', '-0.12', '+0.00', '+0.00', 2]
['-0.19', '+0.48', '-0.25', '-0.56', '-0.30', '-0.08', '+0.00', '+0.00', 1]
['-0.19', '+0.47', '-0.25', '-0.55', '-0.30', '-0.09', '+0.00', '+0.00', 2]
['-0.19', '+0.46', '-0.23', '-0.51', '-0.31', '-0.10', '+0.00', '+0.00', 2]
