['-0.01', '+0.93', '-0.47', '-0.26', '+0.01', '+0.07', '+0.00', '+0.00', 3]
['-0.14', '+0.62', '-0.25', '-0.67', '-0.22', '-0.09', '+0.00', '+0.00', 1]
['-0.14', '+0.61', '-0.24', '-0.66', '-0.22', '-0.09', '+0.00', '+0.00', 2]
['-0.15', '+0.60', '-0.22', '-0.65', '-0.23', '-0.09', '+0.00', '+0.00', 2]
['-0.15', '+0.59', '-0.22', '-0.64', '-0.23', '-0.10', '+0.00', '+0.00', 2]
['-0.15', '+0.58', '-0.22', '-0.63', '-0.24', '-0.11', '+0.00', '+0.00', 2]
['-0.15', '+0.57', '-0.23', '-0.65', '-0.24', '-0.07', '+0.00', '+0.00', 1]
['-0.15', '+0.56', '-0.22', '-0.65', '-0.24', '-0.07', '+0.00', '+0.00', 2]
['-0.16', '+0.55', '-0.22', '-0.65', '-0.25', '-0.07', '+0.00', '+0.00', 2]
['-0.16', '+0.54', '-0.20', '-0.62', '-0.25', '-0.08', '+0.00', '+0.00', 2]
['-0.16', '+0.53', '-0.20', '-0.62', '-0.26', '-0.09', '+0.00', '+0.00', 2]
['-0.16', '+0.52', '-0.20', '-0.61', '-0.26', '-0.10', '+0.00', '+0.00', 2]
['-0.16', '+0.51', '-0.20', '-0.60', '-0.27', '-0.12', '+0.00', '+0.00', 2]
['-0.17', '+0.50', '-0.21', '-0.62', '-0.27', '-0.08', '+0.00', '+0.00', 1]
['-0.17', '+0.49', '-0.19', '-0.62', '-0.27', '-0.07', '+0.00', '+0.00', 2]
['-0.17', '+0.48', '-0.18', '-0.60', '-0.28', '-0.08', '+0.00', '+0.00', 2]
['-0.17', '+0.47', '-0.14', '-0.57', '-0.28', '-0.07', '+0.00', '+0.00', 2]
['-0.17', '+0.47', '-0.15', '-0.60', '-0.28', '-0.03', '+0.00', '+0.00', 1]
['-0.18', '+0.46', '-0.12', '-0.56', '-0.29', '-0.03', '+0.00', '+0.00', 2]
['-0.18', '+0.45', '-0.12', '-0.56', '-0.29', '-0.04', '+0.00', '+0.00', 2]
['-0.18', '+0.44', '-0.08', '-0.53', '-0.29', '-0.03', '+0.00', '+0.00', 2]
['-0.18', '+0.43', '-0.08', '-0.53', '-0.29', '-0.04', '+0.00', '+0.00', 2]
['-0.18', '+0.42', '-0.09', '-0.55', '-0.29', '+0.00', '+0.00', '+0.00', 1]
['-0.18', '+0.42', '-0.08', '-0.54', '-0.29', '-0.00', '+0.00', '+0.00', 2]
['-0.18', '+0.41', '-0.05', '-0.52', '-0.29', '+0.01', '+0.00', '+0.00', 2]
['-0.18', '+0.40', '-0.03', '-0.49', '-0.29', '-0.00', '+0.00', '+0.00', 2]
['-0.18', '+0.39', '-0.02', '-0.46', '-0.29', '-0.02', '+0.00', '+0.00', 2]
['-0.18', '+0.39', '-0.03', '-0.48', '-0.29', '+0.03', '+0.00', '+0.00', 1]
['-0.18', '+0.38', '-0.02', '-0.47', '-0.29', '+0.03', '+0.00', '+0.00', 2]
['-0.18', '+0.37', '-0.00', '-0.44', '-0.29', '+0.02', '+0.00', '+0.00', 2]
['-0.18', '+0.37', '+0.00', '-0.42', '-0.29', '+0.01', '+0.00', '+0.00', 2]
['-0.18', '+0.36', '-0.00', '-0.44', '-0.29', '+0.04', '+0.00', '+0.00', 1]
['-0.18', '+0.35', '+0.01', '-0.43', '-0.28', '+0.03', '+0.00', '+0.00', 2]
['-0.18', '+0.35', '+0.04', '-0.41', '-0.28', '+0.05', '+0.00', '+0.00', 2]
['-0.18', '+0.34', '+0.07', '-0.39', '-0.28', '+0.05', '+0.00', '+0.00', 2]
['-0.18', '+0.34', '+0.06', '-0.41', '-0.27', '+0.09', '+0.00', '+0.00', 1]
['-0.18', '+0.33', '+0.07', '-0.40', '-0.27', '+0.08', '+0.00', '+0.00', 2]
['-0.18', '+0.32', '+0.08', '-0.37', '-0.27', '+0.06', '+0.00', '+0.00', 2]
['-0.18', '+0.32', '+0.10', '-0.37', '-0.26', '+0.07', '+0.00', '+0.00', 2]
['-0.18', '+0.31', '+0.12', '-0.35', '-0.26', '+0.07', '+0.00', '+0.00', 2]
['-0.17', '+0.31', '+0.11', '-0.38', '-0.25', '+0.12', '+0.00', '+0.00', 1]
['-0.17', '+0.30', '+0.12', '-0.36', '-0.25', '+0.12', '+0.00', '+0.00', 2]
['-0.17', '+0.30', '+0.13', '-0.33', '-0.24', '+0.10', '+0.00', '+0.00', 2]
['-0.17', '+0.29', '+0.15', '-0.31', '-0.24', '+0.11', '+0.00', '+0.00', 2]
['-0.17', '+0.29', '+0.16', '-0.30', '-0.23', '+0.11', '+0.00', '+0.00', 2]
['-0.17', '+0.28', '+0.18', '-0.27', '-0.23', '+0.11', '+0.00', '+0.00', 2]
['-0.16', '+0.28', '+0.17', '-0.30', '-0.22', '+0.15', '+0.00', '+0.00', 1]
['-0.16', '+0.28', '+0.20', '-0.28', '-0.21', '+0.17', '+0.00', '+0.00', 2]
['-0.16', '+0.27', '+0.20', '-0.31', '-0.20', '+0.17', '+0.00', '+0.00', 0]
['-0.16', '+0.27', '+0.22', '-0.29', '-0.19', '+0.17', '+0.00', '+0.00', 2]
['-0.16', '+0.26', '+0.23', '-0.29', '-0.19', '+0.17', '+0.00', '+0.00', 2]
['-0.15', '+0.26', '+0.25', '-0.27', '-0.18', '+0.18', '+0.00', '+0.00', 2]
['-0.15', '+0.25', '+0.25', '-0.30', '-0.17', '+0.18', '+0.00', '+0.00', 0]
['-0.15', '+0.25', '+0.26', '-0.30', '-0.16', '+0.18', '+0.00', '+0.00', 2]
['-0.15', '+0.24', '+0.27', '-0.27', '-0.15', '+0.18', '+0.00', '+0.00', 2]
['-0.14', '+0.24', '+0.27', '-0.26', '-0.14', '+0.17', '+0.00', '+0.00', 2]
['-0.14', '+0.24', '+0.27', '-0.25', '-0.13', '+0.16', '+0.00', '+0.00', 2]
['-0.14', '+0.23', '+0.27', '-0.28', '-0.12', '+0.16', '+0.00', '+0.00', 0]
['-0.13', '+0.23', '+0.27', '-0.24', '-0.12', '+0.15', '+0.00', '+0.00', 2]
['-0.13', '+0.22', '+0.27', '-0.27', '-0.11', '+0.15', '+0.00', '+0.00', 0]
['-0.13', '+0.22', '+0.26', '-0.25', '-0.10', '+0.14', '+0.00', '+0.00', 2]
['-0.13', '+0.22', '+0.26', '-0.27', '-0.10', '+0.14', '+0.00', '+0.00', 0]
['-0.12', '+0.21', '+0.28', '-0.24', '-0.09', '+0.15', '+0.00', '+0.00', 2]
['-0.12', '+0.21', '+0.28', '-0.26', '-0.08', '+0.15', '+0.00', '+0.00', 0]
['-0.12', '+0.21', '+0.29', '-0.23', '-0.07', '+0.15', '+0.00', '+0.00', 2]
['-0.11', '+0.20', '+0.29', '-0.26', '-0.07', '+0.15', '+0.00', '+0.00', 0]
['-0.11', '+0.20', '+0.28', '-0.23', '-0.06', '+0.14', '+0.00', '+0.00', 2]
['-0.11', '+0.20', '+0.28', '-0.25', '-0.05', '+0.14', '+0.00', '+0.00', 0]
['-0.11', '+0.19', '+0.28', '-0.24', '-0.05', '+0.13', '+0.00', '+0.00', 2]
['-0.10', '+0.19', '+0.28', '-0.23', '-0.04', '+0.13', '+0.00', '+0.00', 2]
['-0.10', '+0.18', '+0.28', '-0.26', '-0.03', '+0.13', '+0.00', '+0.00', 0]
['-0.10', '+0.18', '+0.28', '-0.22', '-0.03', '+0.13', '+0.00', '+0.00', 2]
['-0.09', '+0.18', '+0.28', '-0.25', '-0.02', '+0.13', '+0.00', '+0.00', 0]
['-0.09', '+0.17', '+0.28', '-0.23', '-0.01', '+0.13', '+0.00', '+0.00', 2]
['-0.09', '+0.17', '+0.30', '-0.23', '-0.01', '+0.14', '+0.00', '+0.00', 2]
['-0.09', '+0.17', '+0.29', '-0.21', '+0.00', '+0.13', '+0.00', '+0.00', 2]
['-0.08', '+0.16', '+0.29', '-0.23', '+0.01', '+0.13', '+0.00', '+0.00', 0]
['-0.08', '+0.16', '+0.30', '-0.21', '+0.01', '+0.15', '+0.00', '+0.00', 2]
['-0.08', '+0.16', '+0.30', '-0.23', '+0.02', '+0.15', '+0.00', '+0.00', 0]
['-0.07', '+0.15', '+0.31', '-0.21', '+0.03', '+0.15', '+0.00', '+0.00', 2]
['-0.07', '+0.15', '+0.31', '-0.23', '+0.04', '+0.15', '+0.00', '+0.00', 0]
['-0.07', '+0.15', '+0.30', '-0.22', '+0.04', '+0.14', '+0.00', '+0.00', 2]
['-0.06', '+0.14', '+0.29', '-0.18', '+0.05', '+0.14', '+0.00', '+0.00', 2]
['-0.06', '+0.14', '+0.29', '-0.21', '+0.06', '+0.14', '+0.00', '+0.00', 0]
['-0.06', '+0.14', '+0.29', '-0.20', '+0.07', '+0.14', '+0.00', '+0.00', 2]
['-0.05', '+0.13', '+0.29', '-0.23', '+0.07', '+0.14', '+0.00', '+0.00', 0]
['-0.05', '+0.13', '+0.28', '-0.23', '+0.08', '+0.14', '+0.00', '+0.00', 2]
['-0.05', '+0.13', '+0.28', '-0.20', '+0.09', '+0.15', '+0.00', '+0.00', 2]
['-0.05', '+0.12', '+0.30', '-0.22', '+0.09', '+0.10', '+0.00', '+0.00', 3]
['-0.04', '+0.12', '+0.28', '-0.22', '+0.10', '+0.08', '+0.00', '+0.00', 2]
['-0.04', '+0.12', '+0.28', '-0.19', '+0.10', '+0.09', '+0.00', '+0.00', 2]
['-0.04', '+0.12', '+0.28', '-0.22', '+0.11', '+0.09', '+0.00', '+0.00', 0]
['-0.03', '+0.11', '+0.29', '-0.22', '+0.11', '+0.11', '+0.00', '+0.00', 2]
['-0.03', '+0.11', '+0.27', '-0.22', '+0.12', '+0.09', '+0.00', '+0.00', 2]
['-0.03', '+0.11', '+0.26', '-0.22', '+0.12', '+0.09', '+0.00', '+0.00', 2]
['-0.03', '+0.10', '+0.25', '-0.19', '+0.12', '+0.09', '+0.00', '+0.00', 2]
['-0.02', '+0.10', '+0.22', '-0.17', '+0.13', '+0.07', '+0.00', '+0.00', 2]
['-0.02', '+0.10', '+0.22', '-0.20', '+0.13', '+0.07', '+0.00', '+0.00', 0]
['-0.02', '+0.09', '+0.22', '-0.20', '+0.14', '+0.08', '+0.00', '+0.00', 2]
['-0.02', '+0.09', '+0.23', '-0.16', '+0.14', '+0.09', '+0.00', '+0.00', 2]
['-0.02', '+0.09', '+0.23', '-0.18', '+0.14', '+0.06', '+0.00', '+0.00', 3]
['-0.01', '+0.09', '+0.22', '-0.19', '+0.15', '+0.05', '+0.00', '+0.00', 2]
['-0.01', '+0.08', '+0.21', '-0.15', '+0.15', '+0.05', '+0.00', '+0.00', 2]
['-0.01', '+0.08', '+0.21', '-0.17', '+0.15', '+0.05', '+0.00', '+0.00', 0]
['-0.01', '+0.08', '+0.21', '-0.20', '+0.15', '+0.05', '+0.00', '+0.00', 0]
['-0.00', '+0.08', '+0.20', '-0.20', '+0.16', '+0.06', '+0.00', '+0.00', 2]
['-0.00', '+0.07', '+0.18', '-0.18', '+0.16', '+0.05', '+0.00', '+0.00', 2]
['-0.00', '+0.07', '+0.17', '-0.17', '+0.16', '+0.05', '+0.00', '+0.00', 2]
['+0.00', '+0.07', '+0.17', '-0.13', '+0.16', '+0.06', '+0.00', '+0.00', 2]
['+0.00', '+0.07', '+0.18', '-0.15', '+0.17', '+0.01', '+0.00', '+0.00', 3]
['+0.00', '+0.06', '+0.18', '-0.18', '+0.17', '+0.01', '+0.00', '+0.00', 0]
['+0.01', '+0.06', '+0.16', '-0.15', '+0.17', '+0.01', '+0.00', '+0.00', 2]
['+0.01', '+0.06', '+0.16', '-0.17', '+0.17', '+0.01', '+0.00', '+0.00', 0]
['+0.01', '+0.06', '+0.17', '-0.16', '+0.17', '+0.03', '+0.00', '+0.00', 2]
['+0.01', '+0.05', '+0.16', '-0.16', '+0.17', '+0.03', '+0.00', '+0.00', 2]
['+0.01', '+0.05', '+0.17', '-0.16', '+0.17', '+0.04', '+0.00', '+0.00', 2]
['+0.01', '+0.05', '+0.15', '-0.13', '+0.17', '+0.03', '+0.00', '+0.00', 2]
['+0.02', '+0.05', '+0.15', '-0.15', '+0.18', '+0.03', '+0.00', '+0.00', 0]
['+0.02', '+0.05', '+0.14', '-0.13', '+0.18', '+0.05', '+0.00', '+0.00', 2]
['+0.02', '+0.04', '+0.15', '-0.15', '+0.18', '-0.00', '+0.00', '+0.00', 3]
['+0.02', '+0.04', '+0.14', '-0.12', '+0.18', '+0.00', '+0.00', '+0.00', 2]
['+0.02', '+0.04', '+0.14', '-0.15', '+0.18', '+0.00', '+0.00', '+0.00', 0]
['+0.02', '+0.04', '+0.12', '-0.12', '+0.18', '-0.01', '+0.00', '+0.00', 2]
['+0.02', '+0.03', '+0.12', '-0.15', '+0.18', '-0.01', '+0.00', '+0.00', 0]
['+0.03', '+0.03', '+0.12', '-0.11', '+0.18', '+0.01', '+0.00', '+0.00', 2]
['+0.03', '+0.03', '+0.12', '-0.13', '+0.18', '+0.01', '+0.00', '+0.00', 0]
['+0.03', '+0.03', '+0.10', '-0.10', '+0.18', '+0.00', '+0.00', '+0.00', 2]
['+0.03', '+0.03', '+0.10', '-0.13', '+0.18', '+0.00', '+0.00', '+0.00', 0]
['+0.03', '+0.03', '+0.07', '-0.10', '+0.18', '-0.01', '+0.00', '+0.00', 2]
['+0.03', '+0.02', '+0.07', '-0.13', '+0.18', '-0.01', '+0.00', '+0.00', 0]
['+0.03', '+0.02', '+0.07', '-0.13', '+0.18', '+0.00', '+0.00', '+0.00', 2]
['+0.03', '+0.02', '+0.05', '-0.13', '+0.18', '-0.01', '+0.00', '+0.00', 2]
['+0.03', '+0.02', '+0.04', '-0.12', '+0.18', '-0.01', '+0.00', '+0.00', 2]
['+0.03', '+0.02', '+0.03', '-0.08', '+0.18', '-0.00', '+0.00', '+0.00', 2]
['+0.03', '+0.02', '+0.04', '-0.11', '+0.17', '-0.03', '+0.00', '+0.00', 3]
['+0.03', '+0.01', '+0.03', '-0.10', '+0.17', '-0.04', '+0.00', '+0.00', 2]
['+0.03', '+0.01', '+0.02', '-0.09', '+0.17', '-0.04', '+0.00', '+0.00', 2]
['+0.03', '+0.01', '+0.03', '-0.08', '+0.15', '-0.35', '+0.00', '+1.00', 0]
['+0.03', '+0.01', '+0.03', '-0.10', '+0.13', '-0.42', '+0.00', '+1.00', 0]
['+0.03', '+0.01', '+0.03', '-0.07', '+0.11', '-0.41', '+0.00', '+1.00', 2]
['+0.03', '+0.01', '+0.03', '-0.10', '+0.09', '-0.41', '+0.00', '+1.00', 0]
['+0.03', '+0.01', '+0.03', '-0.12', '+0.07', '-0.41', '+0.00', '+0.00', 0]
['+0.03', '+0.00', '+0.02', '-0.14', '+0.04', '-0.52', '+0.00', '+1.00', 1]
['+0.03', '+0.00', '+0.03', '-0.13', '+0.02', '-0.51', '+0.00', '+1.00', 2]
['+0.03', '+0.00', '+0.02', '-0.09', '-0.01', '-0.52', '+0.00', '+0.00', 2]
['+0.03', '-0.00', '-0.00', '-0.09', '-0.01', '-0.11', '+1.00', '+0.00', 1]
['+0.03', '-0.00', '+0.00', '-0.06', '-0.02', '-0.11', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '-0.03', '-0.02', '-0.11', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '-0.00', '-0.03', '-0.11', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '+0.01', '-0.03', '+0.04', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '+0.03', '-0.02', '+0.09', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '+0.03', '-0.02', '+0.12', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '+0.04', '-0.01', '+0.12', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '+0.03', '-0.00', '+0.12', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '+0.03', '+0.00', '+0.10', '+1.00', '+1.00', 0]
['+0.03', '+0.00', '+0.00', '+0.00', '+0.00', '+0.02', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '-0.02', '-0.00', '-0.06', '+0.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '-0.00', '-0.00', '-0.01', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '-0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '-0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '-0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '-0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '-0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '-0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '-0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '-0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '-0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '-0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '-0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '-0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '-0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '-0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '-0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.03', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['-0.01', '+0.93', '-0.25', '-0.41', '+0.00', '+0.02', '+0.00', '+0.00', 3]
['-0.01', '+0.92', '-0.25', '-0.44', '+0.00', '-0.02', '+0.00', '+0.00', 3]
['-0.01', '+0.91', '-0.23', '-0.47', '+0.00', '-0.06', '+0.00', '+0.00', 3]
['-0.01', '+0.91', '-0.22', '-0.49', '-0.00', '-0.10', '+0.00', '+0.00', 3]
['-0.01', '+0.90', '-0.22', '-0.52', '-0.01', '-0.10', '+0.00', '+0.00', 0]
['-0.02', '+0.89', '-0.22', '-0.55', '-0.02', '-0.10', '+0.00', '+0.00', 0]
['-0.02', '+0.88', '-0.22', '-0.57', '-0.02', '-0.10', '+0.00', '+0.00', 0]
['-0.02', '+0.87', '-0.22', '-0.60', '-0.03', '-0.10', '+0.00', '+0.00', 0]
['-0.02', '+0.86', '-0.22', '-0.63', '-0.03', '-0.10', '+0.00', '+0.00', 0]
['-0.03', '+0.85', '-0.22', '-0.65', '-0.04', '-0.10', '+0.00', '+0.00', 0]
['-0.03', '+0.84', '-0.22', '-0.68', '-0.04', '-0.10', '+0.00', '+0.00', 0]
['-0.03', '+0.83', '-0.22', '-0.71', '-0.05', '-0.10', '+0.00', '+0.00', 0]
['-0.03', '+0.82', '-0.22', '-0.73', '-0.05', '-0.10', '+0.00', '+0.00', 0]
['-0.04', '+0.81', '-0.22', '-0.76', '-0.06', '-0.10', '+0.00', '+0.00', 0]
['-0.04', '+0.80', '-0.22', '-0.79', '-0.06', '-0.10', '+0.00', '+0.00', 0]
['-0.04', '+0.79', '-0.22', '-0.81', '-0.07', '-0.10', '+0.00', '+0.00', 0]
['-0.04', '+0.77', '-0.22', '-0.84', '-0.07', '-0.10', '+0.00', '+0.00', 0]
['-0.04', '+0.76', '-0.22', '-0.87', '-0.08', '-0.10', '+0.00', '+0.00', 0]
['-0.05', '+0.75', '-0.22', '-0.87', '-0.08', '-0.10', '+0.00', '+0.00', 2]
['-0.05', '+0.74', '-0.22', '-0.87', '-0.09', '-0.10', '+0.00', '+0.00', 2]
['-0.05', '+0.72', '-0.22', '-0.84', '-0.09', '-0.12', '+0.00', '+0.00', 2]
['-0.05', '+0.71', '-0.23', '-0.82', '-0.10', '-0.13', '+0.00', '+0.00', 2]
['-0.06', '+0.70', '-0.22', '-0.81', '-0.10', '-0.12', '+0.00', '+0.00', 2]
['-0.06', '+0.69', '-0.21', '-0.77', '-0.11', '-0.12', '+0.00', '+0.00', 2]
['-0.06', '+0.68', '-0.22', '-0.80', '-0.12', '-0.09', '+0.00', '+0.00', 1]
['-0.06', '+0.66', '-0.22', '-0.78', '-0.12', '-0.10', '+0.00', '+0.00', 2]
['-0.06', '+0.65', '-0.21', '-0.76', '-0.13', '-0.10', '+0.00', '+0.00', 2]
['-0.07', '+0.64', '-0.22', '-0.74', '-0.13', '-0.11', '+0.00', '+0.00', 2]
['-0.07', '+0.63', '-0.22', '-0.74', '-0.14', '-0.12', '+0.00', '+0.00', 2]
['-0.07', '+0.62', '-0.22', '-0.70', '-0.14', '-0.13', '+0.00', '+0.00', 2]
['-0.07', '+0.61', '-0.23', '-0.73', '-0.15', '-0.08', '+0.00', '+0.00', 1]
['-0.08', '+0.60', '-0.22', '-0.71', '-0.15', '-0.08', '+0.00', '+0.00', 2]
['-0.08', '+0.59', '-0.22', '-0.68', '-0.16', '-0.10', '+0.00', '+0.00', 2]
['-0.08', '+0.58', '-0.22', '-0.66', '-0.16', '-0.11', '+0.00', '+0.00', 2]
['-0.08', '+0.57', '-0.21', '-0.65', '-0.17', '-0.10', '+0.00', '+0.00', 2]
['-0.08', '+0.56', '-0.19', '-0.62', '-0.17', '-0.10', '+0.00', '+0.00', 2]
['-0.09', '+0.55', '-0.20', '-0.64', '-0.17', '-0.05', '+0.00', '+0.00', 1]
['-0.09', '+0.54', '-0.18', '-0.60', '-0.18', '-0.05', '+0.00', '+0.00', 2]
['-0.09', '+0.53', '-0.15', '-0.61', '-0.18', '-0.03', '+0.00', '+0.00', 2]
['-0.09', '+0.52', '-0.15', '-0.57', '-0.18', '-0.04', '+0.00', '+0.00', 2]
['-0.09', '+0.51', '-0.15', '-0.60', '-0.18', '-0.04', '+0.00', '+0.00', 0]
['-0.09', '+0.51', '-0.13', '-0.57', '-0.18', '-0.04', '+0.00', '+0.00', 2]
['-0.10', '+0.50', '-0.12', '-0.57', '-0.19', '-0.03', '+0.00', '+0.00', 2]
['-0.10', '+0.49', '-0.08', '-0.54', '-0.19', '-0.02', '+0.00', '+0.00', 2]
['-0.10', '+0.48', '-0.08', '-0.53', '-0.19', '-0.02', '+0.00', '+0.00', 2]
['-0.10', '+0.47', '-0.07', '-0.53', '-0.19', '-0.02', '+0.00', '+0.00', 2]
['-0.10', '+0.46', '-0.08', '-0.55', '-0.19', '+0.03', '+0.00', '+0.00', 1]
['-0.10', '+0.46', '-0.09', '-0.54', '-0.19', '+0.01', '+0.00', '+0.00', 2]
['-0.10', '+0.45', '-0.06', '-0.53', '-0.19', '+0.03', '+0.00', '+0.00', 2]
['-0.10', '+0.44', '-0.05', '-0.52', '-0.18', '+0.03', '+0.00', '+0.00', 2]
['-0.10', '+0.43', '-0.04', '-0.48', '-0.18', '+0.02', '+0.00', '+0.00', 2]
['-0.10', '+0.43', '-0.04', '-0.50', '-0.18', '+0.02', '+0.00', '+0.00', 0]
