['-0.24', '-0.39', '+0.02', '+0.28', 0]
['-0.13', '-0.02', '+0.03', '-0.03', 1]
['-0.13', '+0.17', '+0.03', '-0.31', 1]
['-0.13', '-0.02', '+0.02', '-0.01', 0]
['-0.13', '+0.17', '+0.02', '-0.30', 1]
['-0.13', '-0.03', '+0.02', '+0.00', 0]
['-0.13', '+0.17', '+0.02', '-0.28', 1]
['-0.13', '-0.03', '+0.01', '+0.01', 0]
['-0.13', '+0.17', '+0.01', '-0.28', 1]
['-0.12', '-0.03', '+0.00', '+0.02', 0]
['-0.12', '+0.17', '+0.00', '-0.27', 1]
['-0.12', '-0.03', '-0.00', '+0.02', 0]
['-0.12', '+0.17', '-0.00', '-0.27', 1]
['-0.12', '-0.03', '-0.01', '+0.02', 0]
['-0.12', '+0.17', '-0.01', '-0.27', 1]
['-0.11', '-0.03', '-0.01', '+0.02', 0]
['-0.11', '+0.17', '-0.01', '-0.28', 1]
['-0.11', '-0.03', '-0.02', '+0.01', 0]
['-0.11', '+0.17', '-0.02', '-0.29', 1]
['-0.11', '-0.03', '-0.02', '+0.00', 0]
['-0.11', '+0.17', '-0.02', '-0.30', 1]
['-0.11', '-0.02', '-0.03', '-0.01', 0]
['-0.11', '-0.22', '-0.03', '+0.27', 0]
['-0.11', '-0.02', '-0.02', '-0.03', 1]
['-0.11', '-0.22', '-0.02', '+0.26', 0]
['-0.12', '-0.02', '-0.02', '-0.04', 1]
['-0.12', '-0.22', '-0.02', '+0.24', 0]
['-0.12', '-0.02', '-0.01', '-0.05', 1]
['-0.12', '-0.22', '-0.01', '+0.24', 0]
['-0.12', '-0.02', '-0.01', '-0.06', 1]
['-0.13', '-0.22', '-0.01', '+0.23', 0]
['-0.13', '-0.02', '-0.01', '-0.07', 1]
['-0.13', '-0.22', '-0.01', '+0.22', 0]
['-0.13', '-0.02', '-0.00', '-0.07', 1]
['-0.13', '-0.22', '-0.00', '+0.22', 0]
['-0.14', '-0.02', '-0.00', '-0.08', 1]
['-0.14', '-0.22', '-0.00', '+0.22', 0]
['-0.14', '-0.02', '+0.00', '-0.08', 1]
['-0.14', '-0.22', '+0.00', '+0.22', 0]
['-0.15', '-0.02', '+0.01', '-0.07', 1]
['-0.15', '-0.22', '+0.00', '+0.22', 0]
['-0.15', '-0.02', '+0.01', '-0.07', 1]
['-0.15', '-0.22', '+0.01', '+0.22', 0]
['-0.16', '-0.02', '+0.01', '-0.07', 1]
['-0.16', '-0.22', '+0.01', '+0.23', 0]
['-0.16', '-0.02', '+0.01', '-0.06', 1]
['-0.16', '-0.22', '+0.01', '+0.24', 0]
['-0.17', '-0.02', '+0.02', '-0.05', 1]
['-0.17', '-0.22', '+0.02', '+0.25', 0]
['-0.17', '-0.02', '+0.02', '-0.04', 1]
['-0.17', '-0.22', '+0.02', '+0.26', 0]
['-0.18', '-0.02', '+0.03', '-0.03', 1]
['-0.18', '-0.22', '+0.03', '+0.27', 0]
['-0.18', '-0.02', '+0.03', '-0.01', 1]
['-0.18', '+0.17', '+0.03', '-0.29', 1]
['-0.18', '-0.03', '+0.03', '+0.01', 0]
['-0.18', '+0.17', '+0.03', '-0.28', 1]
['-0.18', '-0.03', '+0.02', '+0.03', 0]
['-0.18', '+0.17', '+0.02', '-0.26', 1]
['-0.17', '-0.03', '+0.02', '+0.04', 0]
['-0.17', '+0.17', '+0.02', '-0.25', 1]
['-0.17', '-0.03', '+0.01', '+0.05', 0]
['-0.17', '+0.17', '+0.01', '-0.24', 1]
['-0.17', '-0.03', '+0.01', '+0.06', 0]
['-0.17', '+0.17', '+0.01', '-0.23', 1]
['-0.17', '-0.03', '+0.00', '+0.06', 0]
['-0.17', '+0.17', '+0.00', '-0.23', 1]
['-0.16', '-0.03', '+0.00', '+0.06', 0]
['-0.16', '+0.17', '+0.00', '-0.23', 1]
['-0.16', '-0.03', '-0.00', '+0.06', 0]
['-0.16', '+0.17', '-0.00', '-0.23', 1]
['-0.16', '-0.03', '-0.01', '+0.06', 0]
['-0.16', '+0.17', '-0.01', '-0.23', 1]
['-0.15', '-0.03', '-0.01', '+0.06', 0]
['-0.16', '+0.17', '-0.01', '-0.24', 1]
['-0.15', '-0.03', '-0.01', '+0.05', 0]
['-0.15', '+0.17', '-0.01', '-0.24', 1]
['-0.15', '-0.03', '-0.02', '+0.04', 0]
['-0.15', '+0.17', '-0.02', '-0.25', 1]
['-0.15', '-0.03', '-0.02', '+0.03', 0]
['-0.15', '+0.17', '-0.02', '-0.27', 1]
['-0.14', '-0.03', '-0.03', '+0.02', 0]
['-0.14', '+0.17', '-0.03', '-0.28', 1]
['-0.14', '-0.03', '-0.03', '+0.00', 0]
['-0.14', '+0.17', '-0.03', '-0.30', 1]
['-0.14', '-0.02', '-0.04', '-0.02', 0]
['-0.14', '-0.22', '-0.04', '+0.27', 0]
['-0.14', '-0.02', '-0.03', '-0.04', 1]
['-0.14', '-0.22', '-0.03', '+0.24', 0]
['-0.15', '-0.02', '-0.03', '-0.06', 1]
['-0.15', '-0.22', '-0.03', '+0.22', 0]
['-0.15', '-0.02', '-0.02', '-0.08', 1]
['-0.15', '-0.22', '-0.03', '+0.21', 0]
['-0.16', '-0.02', '-0.02', '-0.09', 1]
['-0.16', '-0.22', '-0.02', '+0.19', 0]
['-0.16', '-0.02', '-0.02', '-0.11', 1]
['-0.16', '-0.22', '-0.02', '+0.18', 0]
['-0.17', '-0.02', '-0.02', '-0.12', 1]
['-0.17', '-0.21', '-0.02', '+0.17', 0]
['-0.17', '-0.02', '-0.02', '-0.13', 1]
['-0.17', '-0.21', '-0.02', '+0.15', 0]
['-0.18', '-0.02', '-0.02', '-0.15', 1]
['-0.18', '-0.21', '-0.02', '+0.14', 0]
['-0.18', '-0.02', '-0.02', '-0.16', 1]
['-0.18', '-0.21', '-0.02', '+0.13', 0]
['-0.19', '-0.02', '-0.02', '-0.17', 1]
['-0.19', '-0.21', '-0.02', '+0.12', 0]
['-0.19', '-0.02', '-0.02', '-0.18', 1]
['-0.19', '-0.21', '-0.02', '+0.11', 0]
['-0.19', '-0.02', '-0.02', '-0.19', 1]
['-0.19', '-0.21', '-0.02', '+0.09', 0]
['-0.20', '-0.02', '-0.02', '-0.21', 1]
['-0.20', '-0.21', '-0.03', '+0.08', 0]
['-0.20', '-0.41', '-0.03', '+0.36', 0]
['-0.21', '-0.21', '-0.02', '+0.06', 1]
['-0.22', '-0.40', '-0.02', '+0.35', 0]
['-0.22', '-0.21', '-0.01', '+0.05', 1]
['-0.23', '-0.40', '-0.01', '+0.34', 0]
['-0.24', '-0.21', '-0.00', '+0.04', 1]
['-0.24', '-0.40', '-0.00', '+0.34', 0]
['-0.25', '-0.21', '+0.01', '+0.04', 1]
['-0.25', '-0.40', '+0.01', '+0.34', 0]
['-0.26', '-0.21', '+0.01', '+0.05', 1]
['-0.26', '-0.40', '+0.01', '+0.34', 0]
['-0.27', '-0.21', '+0.02', '+0.06', 1]
['-0.28', '-0.41', '+0.02', '+0.35', 0]
['-0.29', '-0.21', '+0.03', '+0.07', 1]
['-0.29', '-0.02', '+0.03', '-0.21', 1]
['-0.29', '-0.21', '+0.03', '+0.09', 0]
['-0.29', '-0.02', '+0.03', '-0.20', 1]
['-0.29', '-0.21', '+0.02', '+0.10', 0]
['-0.30', '-0.02', '+0.03', '-0.18', 1]
['-0.30', '-0.21', '+0.02', '+0.12', 0]
['-0.30', '-0.02', '+0.02', '-0.17', 1]
['-0.30', '-0.21', '+0.02', '+0.14', 0]
['-0.31', '-0.02', '+0.02', '-0.15', 1]
['-0.31', '-0.21', '+0.02', '+0.15', 0]
['-0.31', '-0.02', '+0.02', '-0.14', 1]
['-0.31', '-0.21', '+0.02', '+0.16', 0]
['-0.32', '-0.02', '+0.02', '-0.12', 1]
['-0.32', '-0.22', '+0.02', '+0.18', 0]
['-0.32', '-0.02', '+0.03', '-0.11', 1]
['-0.32', '-0.22', '+0.02', '+0.19', 0]
['-0.33', '-0.02', '+0.03', '-0.09', 1]
['-0.02', '+0.23', '+0.02', '-0.25', 1]
['-0.01', '+0.04', '+0.02', '+0.05', 0]
['-0.01', '+0.23', '+0.02', '-0.24', 1]
['-0.01', '+0.04', '+0.02', '+0.06', 0]
['-0.01', '+0.23', '+0.02', '-0.23', 1]
['-0.00', '+0.04', '+0.01', '+0.07', 0]
['-0.00', '+0.23', '+0.01', '-0.22', 1]
['+0.00', '+0.04', '+0.01', '+0.08', 0]
['+0.00', '+0.23', '+0.01', '-0.21', 1]
['+0.01', '+0.04', '+0.01', '+0.09', 0]
['+0.01', '+0.23', '+0.01', '-0.21', 1]
['+0.01', '+0.04', '+0.00', '+0.09', 0]
['+0.01', '+0.23', '+0.01', '-0.20', 1]
['+0.02', '+0.04', '+0.00', '+0.09', 0]
['+0.02', '+0.23', '+0.00', '-0.20', 1]
['+0.02', '+0.04', '-0.00', '+0.09', 0]
['+0.02', '+0.23', '+0.00', '-0.20', 1]
['+0.03', '+0.04', '-0.00', '+0.10', 0]
['+0.03', '+0.23', '-0.00', '-0.20', 1]
['+0.03', '+0.04', '-0.00', '+0.09', 0]
['+0.03', '+0.23', '-0.00', '-0.20', 1]
['+0.04', '+0.04', '-0.01', '+0.09', 0]
['+0.04', '+0.23', '-0.00', '-0.20', 1]
['+0.04', '+0.04', '-0.01', '+0.09', 0]
['+0.05', '+0.23', '-0.01', '-0.21', 1]
['+0.05', '+0.04', '-0.01', '+0.08', 0]
['+0.05', '+0.23', '-0.01', '-0.21', 1]
['+0.06', '+0.04', '-0.01', '+0.08', 0]
['+0.06', '+0.23', '-0.01', '-0.22', 1]
['+0.06', '+0.04', '-0.02', '+0.07', 0]
['+0.06', '+0.23', '-0.01', '-0.23', 1]
['+0.07', '+0.04', '-0.02', '+0.06', 0]
['+0.07', '+0.23', '-0.02', '-0.24', 1]
['+0.07', '+0.04', '-0.02', '+0.05', 0]
['+0.07', '+0.23', '-0.02', '-0.25', 1]
['+0.08', '+0.04', '-0.03', '+0.03', 0]
['+0.08', '+0.23', '-0.03', '-0.27', 1]
['+0.08', '+0.04', '-0.03', '+0.02', 0]
['+0.08', '+0.23', '-0.03', '-0.28', 1]
['+0.09', '+0.04', '-0.04', '-0.00', 0]
['+0.09', '+0.24', '-0.04', '-0.31', 1]
['+0.09', '+0.04', '-0.04', '-0.02', 0]
['+0.09', '+0.24', '-0.04', '-0.33', 1]
['+0.10', '+0.04', '-0.05', '-0.05', 0]
['+0.10', '+0.24', '-0.05', '-0.36', 1]
['+0.10', '+0.04', '-0.06', '-0.08', 0]
['+0.11', '-0.15', '-0.06', '+0.19', 0]
['+0.10', '+0.04', '-0.06', '-0.12', 1]
['+0.10', '-0.15', '-0.06', '+0.15', 0]
['+0.10', '+0.05', '-0.06', '-0.16', 1]
['+0.10', '-0.15', '-0.06', '+0.12', 0]
['+0.10', '+0.05', '-0.06', '-0.19', 1]
['+0.10', '-0.15', '-0.06', '+0.08', 0]
['+0.10', '+0.05', '-0.06', '-0.23', 1]
['+0.10', '-0.14', '-0.06', '+0.04', 0]
['+0.09', '+0.05', '-0.06', '-0.27', 1]
['+0.10', '-0.14', '-0.07', '+0.00', 0]
['+0.09', '+0.05', '-0.07', '-0.31', 1]
['+0.09', '-0.14', '-0.07', '-0.04', 0]
['+0.09', '-0.33', '-0.07', '+0.23', 0]
['+0.08', '-0.14', '-0.07', '-0.09', 1]
['+0.08', '-0.33', '-0.07', '+0.18', 0]
['+0.07', '-0.14', '-0.07', '-0.13', 1]
['+0.07', '-0.33', '-0.07', '+0.14', 0]
['+0.07', '-0.13', '-0.07', '-0.17', 1]
['+0.06', '-0.33', '-0.07', '+0.10', 0]
['+0.06', '-0.13', '-0.07', '-0.22', 1]
['+0.05', '-0.33', '-0.07', '+0.05', 0]
['+0.05', '-0.13', '-0.07', '-0.26', 1]
['+0.04', '-0.32', '-0.08', '+0.01', 0]
['+0.04', '-0.52', '-0.08', '+0.27', 0]
['+0.03', '-0.32', '-0.07', '-0.04', 1]
['+0.02', '-0.52', '-0.07', '+0.23', 0]
['+0.01', '-0.32', '-0.07', '-0.09', 1]
['+0.00', '-0.51', '-0.07', '+0.18', 0]
['-0.01', '-0.32', '-0.07', '-0.13', 1]
['-0.01', '-0.51', '-0.07', '+0.14', 0]
['-0.02', '-0.32', '-0.07', '-0.18', 1]
['-0.03', '-0.51', '-0.07', '+0.09', 0]
['-0.04', '-0.70', '-0.07', '+0.36', 0]
['-0.05', '-0.51', '-0.06', '+0.05', 1]
['-0.06', '-0.70', '-0.06', '+0.32', 0]
['-0.08', '-0.51', '-0.05', '+0.01', 1]
['-0.09', '-0.70', '-0.05', '+0.29', 0]
['-0.10', '-0.51', '-0.05', '-0.02', 1]
['-0.11', '-0.70', '-0.05', '+0.26', 0]
['-0.13', '-0.50', '-0.04', '-0.05', 1]
['-0.14', '-0.70', '-0.04', '+0.23', 0]
['-0.15', '-0.50', '-0.04', '-0.08', 1]
['-0.16', '-0.70', '-0.04', '+0.20', 0]
['-0.17', '-0.50', '-0.04', '-0.11', 1]
['-0.18', '-0.70', '-0.04', '+0.17', 0]
['-0.20', '-0.50', '-0.04', '-0.13', 1]
['-0.21', '-0.69', '-0.04', '+0.15', 0]
['-0.22', '-0.89', '-0.04', '+0.43', 0]
['-0.24', '-0.69', '-0.03', '+0.13', 1]
['-0.25', '-0.89', '-0.02', '+0.41', 0]
['-0.27', '-0.69', '-0.02', '+0.11', 1]
['-0.29', '-0.89', '-0.01', '+0.40', 0]
['-0.30', '-0.69', '-0.01', '+0.10', 1]
['-0.32', '-0.89', '-0.00', '+0.39', 0]
['-0.33', '-0.69', '+0.00', '+0.10', 1]
['-0.35', '-0.89', '+0.01', '+0.39', 0]
['-0.37', '-0.69', '+0.01', '+0.10', 1]
['-0.38', '-0.89', '+0.02', '+0.40', 0]
['-0.40', '-0.69', '+0.02', '+0.11', 1]
['-0.41', '-0.89', '+0.03', '+0.41', 0]
['-0.43', '-0.69', '+0.03', '+0.13', 1]
['-0.44', '-0.89', '+0.04', '+0.43', 0]
['-0.46', '-0.69', '+0.05', '+0.15', 1]
['-0.47', '-0.50', '+0.05', '-0.13', 1]
['-0.48', '-0.70', '+0.05', '+0.18', 0]
['-0.50', '-0.50', '+0.05', '-0.10', 1]
['-0.51', '-0.70', '+0.05', '+0.21', 0]
['-0.52', '-0.50', '+0.05', '-0.07', 1]
['-0.53', '-0.70', '+0.05', '+0.24', 0]
['-0.55', '-0.50', '+0.05', '-0.04', 1]
['-0.56', '-0.70', '+0.05', '+0.27', 0]
['-0.57', '-0.51', '+0.06', '-0.00', 1]
['-0.58', '-0.70', '+0.06', '+0.31', 0]
['-0.60', '-0.51', '+0.07', '+0.04', 1]
['-0.61', '-0.70', '+0.07', '+0.35', 0]
['-0.62', '-0.51', '+0.07', '+0.08', 1]
['-0.63', '-0.71', '+0.07', '+0.39', 0]
['-0.64', '-0.51', '+0.08', '+0.12', 1]
['-0.65', '-0.32', '+0.09', '-0.14', 1]
['-0.66', '-0.51', '+0.08', '+0.18', 0]
['-0.67', '-0.32', '+0.09', '-0.09', 1]
['-0.68', '-0.52', '+0.08', '+0.23', 0]
['-0.69', '-0.32', '+0.09', '-0.04', 1]
['-0.69', '-0.52', '+0.09', '+0.28', 0]
['-0.70', '-0.33', '+0.09', '+0.02', 1]
['-0.71', '-0.52', '+0.09', '+0.34', 0]
['-0.72', '-0.33', '+0.10', '+0.08', 1]
['-0.73', '-0.13', '+0.10', '-0.18', 1]
['-0.73', '-0.33', '+0.10', '+0.14', 0]
['-0.74', '-0.14', '+0.10', '-0.12', 1]
['-0.74', '-0.33', '+0.10', '+0.21', 0]
['-0.75', '-0.14', '+0.10', '-0.05', 1]
['-0.75', '-0.34', '+0.10', '+0.27', 0]
['-0.76', '-0.14', '+0.11', '+0.01', 1]
['-0.76', '-0.34', '+0.11', '+0.34', 0]
['-0.77', '-0.15', '+0.11', '+0.08', 1]
['-0.77', '+0.05', '+0.12', '-0.18', 1]
['-0.77', '-0.15', '+0.11', '+0.15', 0]
['-0.77', '+0.04', '+0.12', '-0.10', 1]
['-0.77', '-0.15', '+0.11', '+0.22', 0]
['-0.77', '+0.04', '+0.12', '-0.03', 1]
['-0.77', '-0.16', '+0.12', '+0.30', 0]
['-0.77', '+0.04', '+0.12', '+0.04', 1]
['-0.77', '+0.23', '+0.12', '-0.21', 1]
['-0.77', '+0.03', '+0.12', '+0.12', 0]
['-0.77', '+0.23', '+0.12', '-0.13', 1]
['-0.76', '+0.03', '+0.12', '+0.20', 0]
['-0.76', '+0.22', '+0.12', '-0.06', 1]
['-0.76', '+0.42', '+0.12', '-0.31', 1]
['-0.75', '+0.22', '+0.12', '+0.02', 0]
['-0.75', '+0.41', '+0.12', '-0.23', 1]
['-0.74', '+0.22', '+0.11', '+0.09', 0]
['-0.73', '+0.41', '+0.11', '-0.16', 1]
['-0.73', '+0.21', '+0.11', '+0.17', 0]
['-0.72', '+0.41', '+0.11', '-0.09', 1]
['-0.71', '+0.60', '+0.11', '-0.34', 1]
['-0.70', '+0.40', '+0.11', '-0.02', 0]
['-0.69', '+0.60', '+0.11', '-0.28', 1]
['-0.68', '+0.40', '+0.10', '+0.05', 0]
['-0.67', '+0.59', '+0.10', '-0.21', 1]
['-0.66', '+0.40', '+0.10', '+0.11', 0]
['-0.65', '+0.59', '+0.10', '-0.15', 1]
['-0.64', '+0.79', '+0.10', '-0.41', 1]
['-0.63', '+0.59', '+0.09', '-0.09', 0]
['-0.61', '+0.78', '+0.09', '-0.35', 1]
['-0.60', '+0.59', '+0.08', '-0.03', 0]
['-0.59', '+0.78', '+0.08', '-0.30', 1]
['-0.57', '+0.58', '+0.07', '+0.01', 0]
['-0.56', '+0.78', '+0.07', '-0.25', 1]
['-0.54', '+0.58', '+0.07', '+0.06', 0]
['-0.53', '+0.78', '+0.07', '-0.21', 1]
['-0.52', '+0.58', '+0.06', '+0.10', 0]
['-0.51', '+0.77', '+0.07', '-0.17', 1]
['-0.49', '+0.97', '+0.06', '-0.44', 1]
['-0.47', '+0.77', '+0.05', '-0.13', 0]
['-0.45', '+0.97', '+0.05', '-0.40', 1]
['-0.44', '+0.77', '+0.04', '-0.10', 0]
['-0.42', '+0.97', '+0.04', '-0.37', 1]
['-0.40', '+0.77', '+0.03', '-0.07', 0]
['-0.39', '+0.96', '+0.03', '-0.35', 1]
['-0.37', '+0.77', '+0.03', '-0.05', 0]
['-0.35', '+0.96', '+0.02', '-0.33', 1]
['-0.33', '+0.77', '+0.02', '-0.03', 0]
['-0.32', '+0.96', '+0.02', '-0.32', 1]
['-0.30', '+0.77', '+0.01', '-0.02', 0]
['-0.28', '+0.96', '+0.01', '-0.31', 1]
['-0.26', '+0.77', '+0.00', '-0.01', 0]
['-0.25', '+0.96', '+0.00', '-0.31', 1]
['-0.23', '+0.77', '-0.00', '-0.01', 0]
['-0.21', '+0.96', '-0.00', '-0.30', 1]
['-0.19', '+0.77', '-0.01', '-0.01', 0]
['-0.18', '+0.96', '-0.01', '-0.31', 1]
['-0.16', '+0.77', '-0.01', '-0.02', 0]
['-0.03', '-0.18', '-0.01', '+0.30', 0]
['-0.04', '+0.01', '-0.01', '-0.00', 1]
['-0.04', '-0.18', '-0.01', '+0.29', 0]
['-0.04', '+0.02', '-0.00', '-0.01', 1]
['-0.04', '-0.18', '-0.00', '+0.28', 0]
['-0.04', '+0.02', '+0.00', '-0.01', 1]
['-0.04', '-0.18', '+0.00', '+0.28', 0]
['-0.05', '+0.02', '+0.01', '-0.01', 1]
['-0.05', '-0.18', '+0.01', '+0.29', 0]
['-0.05', '+0.01', '+0.01', '-0.00', 1]
['-0.05', '+0.21', '+0.01', '-0.29', 1]
['-0.05', '+0.01', '+0.01', '+0.01', 0]
['-0.05', '+0.21', '+0.01', '-0.28', 1]
['-0.04', '+0.01', '+0.00', '+0.01', 0]
['-0.04', '+0.21', '+0.00', '-0.28', 1]
['-0.04', '+0.01', '-0.00', '+0.01', 0]
['-0.04', '+0.21', '-0.00', '-0.28', 1]
['-0.03', '+0.01', '-0.01', '+0.01', 0]
['-0.03', '+0.21', '-0.01', '-0.28', 1]
['-0.03', '+0.01', '-0.01', '+0.01', 0]
['-0.03', '-0.18', '-0.01', '+0.30', 0]
['-0.03', '+0.01', '-0.01', '-0.00', 1]
['-0.03', '-0.18', '-0.01', '+0.29', 0]
['-0.03', '+0.02', '-0.00', '-0.01', 1]
['-0.03', '-0.18', '-0.00', '+0.29', 0]
['-0.04', '+0.02', '+0.00', '-0.01', 1]
['-0.04', '-0.18', '+0.00', '+0.29', 0]
['-0.04', '+0.01', '+0.01', '-0.00', 1]
['-0.04', '+0.21', '+0.01', '-0.29', 1]
['-0.04', '+0.01', '+0.00', '+0.00', 0]
['-0.04', '+0.21', '+0.00', '-0.29', 1]
['-0.03', '+0.01', '-0.00', '+0.00', 0]
['-0.03', '+0.21', '-0.00', '-0.29', 1]
['-0.03', '+0.01', '-0.01', '+0.00', 0]
['-0.03', '-0.18', '-0.01', '+0.29', 0]
['-0.03', '+0.01', '-0.00', '-0.00', 1]
['-0.03', '-0.18', '-0.00', '+0.29', 0]
['-0.03', '+0.01', '+0.00', '-0.00', 1]
['-0.03', '-0.18', '+0.00', '+0.29', 0]
['-0.04', '+0.01', '+0.01', '-0.00', 1]
['-0.04', '+0.21', '+0.01', '-0.29', 1]
['-0.03', '+0.01', '+0.00', '+0.01', 0]
['-0.03', '+0.21', '+0.00', '-0.29', 1]
['-0.03', '+0.01', '-0.00', '+0.01', 0]
['-0.03', '+0.21', '-0.00', '-0.29', 1]
['-0.02', '+0.01', '-0.01', '+0.01', 0]
['-0.02', '+0.21', '-0.01', '-0.29', 1]
['-0.02', '+0.01', '-0.01', '+0.00', 0]
['-0.02', '-0.18', '-0.01', '+0.29', 0]
['-0.02', '+0.02', '-0.01', '-0.01', 1]
['-0.02', '-0.18', '-0.01', '+0.28', 0]
['-0.03', '+0.02', '-0.00', '-0.01', 1]
['-0.03', '-0.18', '-0.00', '+0.28', 0]
['-0.03', '+0.02', '+0.00', '-0.01', 1]
['-0.03', '-0.18', '+0.00', '+0.28', 0]
['-0.03', '+0.02', '+0.01', '-0.01', 1]
['-0.03', '-0.18', '+0.01', '+0.29', 0]
['-0.04', '+0.01', '+0.01', '-0.00', 1]
['-0.04', '+0.21', '+0.01', '-0.29', 1]
['-0.03', '+0.01', '+0.01', '+0.01', 0]
['-0.03', '+0.21', '+0.01', '-0.28', 1]
['-0.03', '+0.01', '+0.00', '+0.01', 0]
['-0.03', '+0.21', '+0.00', '-0.28', 1]
['-0.02', '+0.01', '-0.00', '+0.01', 0]
['-0.02', '+0.21', '-0.00', '-0.28', 1]
['-0.02', '+0.01', '-0.01', '+0.01', 0]
['-0.02', '+0.21', '-0.01', '-0.28', 1]
['-0.01', '+0.01', '-0.01', '+0.01', 0]
['-0.01', '+0.21', '-0.01', '-0.29', 1]
['-0.01', '+0.01', '-0.02', '-0.00', 0]
['-0.01', '-0.18', '-0.02', '+0.29', 0]
['-0.01', '+0.02', '-0.01', '-0.01', 1]
['-0.01', '-0.18', '-0.01', '+0.28', 0]
['-0.02', '+0.02', '-0.01', '-0.02', 1]
['-0.02', '-0.18', '-0.01', '+0.27', 0]
['-0.02', '+0.02', '-0.00', '-0.03', 1]
['-0.02', '-0.18', '-0.00', '+0.27', 0]
['-0.02', '+0.02', '+0.00', '-0.03', 1]
['-0.02', '-0.18', '+0.00', '+0.26', 0]
['-0.03', '+0.02', '+0.01', '-0.03', 1]
['-0.03', '-0.18', '+0.01', '+0.27', 0]
['-0.03', '+0.02', '+0.01', '-0.02', 1]
['-0.03', '-0.18', '+0.01', '+0.27', 0]
['-0.03', '+0.02', '+0.02', '-0.02', 1]
['-0.03', '-0.18', '+0.02', '+0.28', 0]
['-0.04', '+0.02', '+0.02', '-0.01', 1]
['-0.04', '+0.21', '+0.02', '-0.29', 1]
['-0.03', '+0.01', '+0.02', '+0.01', 0]
['-0.03', '+0.21', '+0.02', '-0.28', 1]
['-0.03', '+0.01', '+0.01', '+0.02', 0]
['-0.03', '+0.21', '+0.01', '-0.27', 1]
['-0.02', '+0.01', '+0.01', '+0.02', 0]
['-0.02', '+0.21', '+0.01', '-0.27', 1]
['-0.02', '+0.01', '+0.00', '+0.03', 0]
['-0.02', '+0.21', '+0.00', '-0.26', 1]
['-0.01', '+0.01', '-0.00', '+0.03', 0]
['-0.01', '+0.21', '-0.00', '-0.27', 1]
['-0.01', '+0.01', '-0.01', '+0.03', 0]
