['-0.40', '-0.03', '+0.05', '-0.02', 1]
['+0.06', '+0.17', '+0.01', '-0.20', 1]
['+0.06', '-0.02', '+0.01', '+0.09', 0]
['+0.06', '+0.17', '+0.01', '-0.20', 1]
['+0.06', '-0.02', '+0.00', '+0.10', 0]
['+0.06', '+0.17', '+0.01', '-0.19', 1]
['+0.06', '-0.02', '+0.00', '+0.10', 0]
['+0.06', '+0.17', '+0.00', '-0.19', 1]
['+0.07', '-0.02', '+0.00', '+0.11', 0]
['+0.07', '+0.17', '+0.00', '-0.19', 1]
['+0.07', '-0.02', '-0.00', '+0.11', 0]
['+0.07', '+0.17', '+0.00', '-0.19', 1]
['+0.07', '-0.02', '-0.00', '+0.11', 0]
['+0.07', '+0.17', '+0.00', '-0.19', 1]
['+0.08', '-0.02', '-0.00', '+0.11', 0]
['+0.08', '+0.17', '-0.00', '-0.19', 1]
['+0.08', '-0.02', '-0.01', '+0.10', 0]
['+0.08', '+0.17', '-0.00', '-0.19', 1]
['+0.08', '-0.02', '-0.01', '+0.10', 0]
['+0.08', '+0.17', '-0.00', '-0.19', 1]
['+0.09', '-0.02', '-0.01', '+0.10', 0]
['+0.09', '+0.17', '-0.01', '-0.20', 1]
['+0.09', '-0.02', '-0.01', '+0.09', 0]
['+0.09', '+0.17', '-0.01', '-0.20', 1]
['+0.09', '-0.02', '-0.01', '+0.09', 0]
['+0.09', '+0.17', '-0.01', '-0.21', 1]
['+0.10', '-0.02', '-0.02', '+0.08', 0]
['+0.09', '+0.18', '-0.01', '-0.22', 1]
['+0.10', '-0.02', '-0.02', '+0.07', 0]
['+0.10', '+0.18', '-0.02', '-0.23', 1]
['+0.10', '-0.02', '-0.02', '+0.06', 0]
['+0.10', '+0.18', '-0.02', '-0.24', 1]
['+0.10', '-0.02', '-0.02', '+0.05', 0]
['+0.10', '+0.18', '-0.02', '-0.25', 1]
['+0.11', '-0.02', '-0.03', '+0.03', 0]
['+0.11', '+0.18', '-0.03', '-0.27', 1]
['+0.11', '-0.02', '-0.03', '+0.01', 0]
['+0.11', '+0.18', '-0.03', '-0.29', 1]
['+0.11', '-0.02', '-0.04', '-0.01', 0]
['+0.11', '+0.18', '-0.04', '-0.31', 1]
['+0.12', '-0.02', '-0.05', '-0.03', 0]
['+0.12', '+0.18', '-0.05', '-0.34', 1]
['+0.12', '-0.01', '-0.05', '-0.06', 0]
['+0.12', '-0.21', '-0.05', '+0.21', 0]
['+0.12', '-0.01', '-0.05', '-0.10', 1]
['+0.12', '-0.21', '-0.05', '+0.18', 0]
['+0.11', '-0.01', '-0.05', '-0.13', 1]
['+0.11', '-0.21', '-0.05', '+0.15', 0]
['+0.11', '-0.01', '-0.05', '-0.16', 1]
['+0.11', '-0.20', '-0.05', '+0.12', 0]
['+0.10', '-0.01', '-0.05', '-0.19', 1]
['+0.10', '-0.20', '-0.05', '+0.08', 0]
['+0.10', '-0.01', '-0.05', '-0.22', 1]
['+0.10', '-0.20', '-0.06', '+0.05', 0]
['+0.10', '-0.00', '-0.05', '-0.26', 1]
['+0.09', '-0.20', '-0.06', '+0.02', 0]
['+0.09', '-0.39', '-0.06', '+0.29', 0]
['+0.08', '-0.20', '-0.05', '-0.02', 1]
['+0.08', '-0.39', '-0.05', '+0.25', 0]
['+0.07', '-0.20', '-0.05', '-0.05', 1]
['+0.07', '-0.39', '-0.05', '+0.22', 0]
['+0.06', '-0.19', '-0.05', '-0.09', 1]
['+0.06', '-0.39', '-0.05', '+0.19', 0]
['+0.05', '-0.19', '-0.04', '-0.12', 1]
['+0.04', '-0.39', '-0.05', '+0.16', 0]
['+0.04', '-0.19', '-0.04', '-0.14', 1]
['+0.03', '-0.39', '-0.05', '+0.13', 0]
['+0.02', '-0.19', '-0.04', '-0.17', 1]
['+0.02', '-0.39', '-0.05', '+0.11', 0]
['+0.01', '-0.19', '-0.04', '-0.20', 1]
['+0.01', '-0.38', '-0.05', '+0.08', 0]
['+0.00', '-0.19', '-0.05', '-0.23', 1]
['-0.00', '-0.38', '-0.05', '+0.05', 0]
['-0.01', '-0.58', '-0.05', '+0.32', 0]
['-0.02', '-0.38', '-0.04', '+0.02', 1]
['-0.03', '-0.58', '-0.04', '+0.29', 0]
['-0.04', '-0.38', '-0.04', '-0.01', 1]
['-0.05', '-0.57', '-0.04', '+0.27', 0]
['-0.06', '-0.38', '-0.03', '-0.04', 1]
['-0.07', '-0.57', '-0.03', '+0.25', 0]
['-0.08', '-0.38', '-0.03', '-0.06', 1]
['-0.09', '-0.57', '-0.03', '+0.23', 0]
['-0.10', '-0.38', '-0.02', '-0.07', 1]
['-0.10', '-0.57', '-0.03', '+0.21', 0]
['-0.12', '-0.38', '-0.02', '-0.09', 1]
['-0.12', '-0.57', '-0.02', '+0.20', 0]
['-0.14', '-0.38', '-0.02', '-0.10', 1]
['-0.14', '-0.57', '-0.02', '+0.18', 0]
['-0.15', '-0.37', '-0.02', '-0.12', 1]
['-0.16', '-0.57', '-0.02', '+0.17', 0]
['-0.17', '-0.37', '-0.02', '-0.13', 1]
['-0.18', '-0.57', '-0.02', '+0.16', 0]
['-0.19', '-0.37', '-0.02', '-0.14', 1]
['-0.20', '-0.57', '-0.02', '+0.15', 0]
['-0.21', '-0.37', '-0.02', '-0.15', 1]
['-0.22', '-0.57', '-0.02', '+0.13', 0]
['-0.23', '-0.37', '-0.02', '-0.16', 1]
['-0.24', '-0.57', '-0.02', '+0.12', 0]
['-0.25', '-0.76', '-0.02', '+0.41', 0]
['-0.26', '-0.57', '-0.01', '+0.11', 1]
['-0.28', '-0.76', '-0.01', '+0.40', 0]
['-0.29', '-0.57', '+0.00', '+0.11', 1]
['-0.30', '-0.76', '+0.00', '+0.40', 0]
['-0.32', '-0.57', '+0.01', '+0.11', 1]
['-0.33', '-0.76', '+0.01', '+0.40', 0]
['-0.34', '-0.57', '+0.02', '+0.11', 1]
['-0.35', '-0.76', '+0.02', '+0.41', 0]
['-0.37', '-0.57', '+0.03', '+0.13', 1]
['-0.38', '-0.76', '+0.03', '+0.43', 0]
['-0.40', '-0.57', '+0.04', '+0.15', 1]
['-0.41', '-0.37', '+0.05', '-0.13', 1]
['-0.42', '-0.57', '+0.04', '+0.18', 0]
['-0.43', '-0.38', '+0.05', '-0.10', 1]
['-0.43', '-0.57', '+0.04', '+0.20', 0]
['-0.45', '-0.38', '+0.05', '-0.08', 1]
['-0.45', '-0.57', '+0.05', '+0.23', 0]
['-0.46', '-0.38', '+0.05', '-0.05', 1]
['-0.47', '-0.57', '+0.05', '+0.26', 0]
['-0.48', '-0.38', '+0.06', '-0.01', 1]
['-0.49', '-0.58', '+0.06', '+0.30', 0]
['-0.50', '-0.38', '+0.06', '+0.02', 1]
['-0.51', '-0.58', '+0.06', '+0.33', 0]
['-0.52', '-0.38', '+0.07', '+0.06', 1]
['-0.53', '-0.58', '+0.07', '+0.37', 0]
['-0.54', '-0.38', '+0.08', '+0.10', 1]
['-0.55', '-0.19', '+0.08', '-0.16', 1]
['-0.55', '-0.39', '+0.08', '+0.15', 0]
['-0.56', '-0.19', '+0.08', '-0.11', 1]
['-0.56', '-0.39', '+0.08', '+0.20', 0]
['-0.57', '-0.20', '+0.08', '-0.07', 1]
['-0.58', '-0.39', '+0.08', '+0.25', 0]
['-0.58', '-0.20', '+0.08', '-0.02', 1]
['-0.59', '-0.39', '+0.08', '+0.30', 0]
['-0.60', '-0.20', '+0.09', '+0.04', 1]
['-0.60', '-0.40', '+0.09', '+0.36', 0]
['-0.61', '-0.20', '+0.10', '+0.09', 1]
['-0.61', '-0.01', '+0.10', '-0.17', 1]
['-0.61', '-0.21', '+0.10', '+0.16', 0]
['-0.62', '-0.01', '+0.10', '-0.10', 1]
['-0.62', '-0.21', '+0.10', '+0.22', 0]
['-0.62', '-0.01', '+0.10', '-0.04', 1]
['-0.62', '-0.21', '+0.10', '+0.28', 0]
['-0.63', '-0.02', '+0.11', '+0.02', 1]
['-0.63', '+0.18', '+0.11', '-0.24', 1]
['-0.62', '-0.02', '+0.10', '+0.09', 0]
['-0.62', '+0.17', '+0.10', '-0.17', 1]
['-0.62', '-0.02', '+0.10', '+0.15', 0]
['-0.62', '+0.17', '+0.10', '-0.11', 1]
['-0.62', '-0.03', '+0.10', '+0.22', 0]
['-0.62', '+0.17', '+0.11', '-0.04', 1]
['-0.61', '+0.36', '+0.11', '-0.30', 1]
['-0.61', '+0.16', '+0.10', '+0.03', 0]
['-0.60', '+0.36', '+0.10', '-0.23', 1]
['-0.60', '+0.16', '+0.10', '+0.09', 0]
['-0.59', '+0.35', '+0.10', '-0.17', 1]
['-0.59', '+0.16', '+0.09', '+0.15', 0]
['-0.58', '+0.35', '+0.10', '-0.11', 1]
['-0.58', '+0.16', '+0.09', '+0.21', 0]
['-0.57', '+0.35', '+0.10', '-0.05', 1]
['-0.56', '+0.54', '+0.10', '-0.31', 1]
['-0.55', '+0.35', '+0.09', '+0.01', 0]
['-0.55', '+0.54', '+0.09', '-0.25', 1]
['-0.54', '+0.34', '+0.09', '+0.07', 0]
['-0.53', '+0.54', '+0.09', '-0.20', 1]
['-0.52', '+0.34', '+0.08', '+0.12', 0]
['-0.51', '+0.54', '+0.09', '-0.14', 1]
['-0.50', '+0.73', '+0.08', '-0.41', 1]
['-0.49', '+0.53', '+0.08', '-0.09', 0]
['-0.48', '+0.73', '+0.07', '-0.36', 1]
['-0.46', '+0.53', '+0.07', '-0.04', 0]
['-0.45', '+0.73', '+0.07', '-0.31', 1]
['-0.44', '+0.53', '+0.06', '-0.00', 0]
['-0.43', '+0.72', '+0.06', '-0.28', 1]
['-0.41', '+0.53', '+0.05', '+0.04', 0]
['-0.40', '+0.72', '+0.05', '-0.24', 1]
['-0.39', '+0.53', '+0.05', '+0.07', 0]
['-0.38', '+0.72', '+0.05', '-0.21', 1]
['-0.36', '+0.52', '+0.05', '+0.10', 0]
['-0.35', '+0.72', '+0.05', '-0.18', 1]
['-0.34', '+0.91', '+0.05', '-0.45', 1]
['-0.32', '+0.72', '+0.04', '-0.15', 0]
['-0.30', '+0.91', '+0.03', '-0.43', 1]
['-0.29', '+0.72', '+0.02', '-0.12', 0]
['-0.27', '+0.91', '+0.02', '-0.41', 1]
['-0.25', '+0.72', '+0.01', '-0.11', 0]
['-0.24', '+0.91', '+0.01', '-0.40', 1]
['-0.22', '+0.72', '+0.00', '-0.10', 0]
['-0.21', '+0.91', '+0.00', '-0.39', 1]
['-0.19', '+0.72', '-0.01', '-0.10', 0]
['-0.17', '+0.91', '-0.01', '-0.39', 1]
['-0.16', '+0.72', '-0.02', '-0.10', 0]
['-0.14', '+0.91', '-0.02', '-0.40', 1]
['-0.12', '+0.72', '-0.03', '-0.12', 0]
['+0.01', '-0.24', '-0.02', '+0.24', 0]
['+0.01', '-0.05', '-0.01', '-0.05', 1]
['+0.01', '-0.24', '-0.02', '+0.23', 0]
['+0.00', '-0.05', '-0.01', '-0.06', 1]
['+0.00', '-0.24', '-0.01', '+0.23', 0]
['-0.00', '-0.05', '-0.01', '-0.07', 1]
['-0.00', '-0.24', '-0.01', '+0.22', 0]
['-0.01', '-0.05', '-0.00', '-0.08', 1]
['-0.01', '-0.24', '-0.01', '+0.22', 0]
['-0.01', '-0.05', '-0.00', '-0.08', 1]
['-0.01', '-0.24', '-0.00', '+0.21', 0]
['-0.02', '-0.05', '+0.00', '-0.08', 1]
['-0.02', '-0.24', '-0.00', '+0.21', 0]
['-0.03', '-0.05', '+0.00', '-0.08', 1]
['-0.03', '-0.24', '+0.00', '+0.21', 0]
['-0.03', '-0.05', '+0.01', '-0.08', 1]
['-0.03', '-0.24', '+0.01', '+0.22', 0]
['-0.04', '-0.05', '+0.01', '-0.07', 1]
['-0.04', '-0.24', '+0.01', '+0.22', 0]
['-0.04', '-0.05', '+0.01', '-0.07', 1]
['-0.04', '-0.24', '+0.01', '+0.23', 0]
['-0.05', '-0.05', '+0.02', '-0.06', 1]
['-0.05', '-0.24', '+0.01', '+0.24', 0]
['-0.05', '-0.05', '+0.02', '-0.05', 1]
['-0.05', '-0.24', '+0.02', '+0.25', 0]
['-0.06', '-0.05', '+0.02', '-0.04', 1]
['-0.06', '-0.24', '+0.02', '+0.26', 0]
['-0.07', '-0.05', '+0.03', '-0.03', 1]
['-0.07', '-0.24', '+0.03', '+0.27', 0]
['-0.07', '-0.05', '+0.03', '-0.01', 1]
['-0.07', '+0.15', '+0.03', '-0.29', 1]
['-0.07', '-0.05', '+0.03', '+0.01', 0]
['-0.07', '+0.15', '+0.03', '-0.27', 1]
['-0.07', '-0.05', '+0.02', '+0.03', 0]
['-0.07', '+0.14', '+0.02', '-0.26', 1]
['-0.07', '-0.05', '+0.02', '+0.04', 0]
['-0.07', '+0.14', '+0.02', '-0.25', 1]
['-0.06', '-0.05', '+0.01', '+0.05', 0]
['-0.06', '+0.14', '+0.01', '-0.24', 1]
['-0.06', '-0.05', '+0.01', '+0.06', 0]
['-0.06', '+0.14', '+0.01', '-0.23', 1]
['-0.06', '-0.05', '+0.01', '+0.07', 0]
['-0.06', '+0.14', '+0.01', '-0.23', 1]
['-0.06', '-0.05', '+0.00', '+0.07', 0]
['-0.06', '+0.14', '+0.00', '-0.22', 1]
['-0.06', '-0.05', '-0.00', '+0.07', 0]
['-0.06', '+0.14', '+0.00', '-0.22', 1]
['-0.05', '-0.05', '-0.00', '+0.07', 0]
['-0.06', '+0.14', '-0.00', '-0.22', 1]
['-0.05', '-0.05', '-0.01', '+0.07', 0]
['-0.05', '+0.14', '-0.01', '-0.23', 1]
['-0.05', '-0.05', '-0.01', '+0.06', 0]
['-0.05', '+0.14', '-0.01', '-0.23', 1]
['-0.05', '-0.05', '-0.01', '+0.06', 0]
['-0.05', '+0.14', '-0.01', '-0.24', 1]
['-0.05', '-0.05', '-0.02', '+0.05', 0]
['-0.05', '+0.14', '-0.02', '-0.25', 1]
['-0.05', '-0.05', '-0.02', '+0.04', 0]
['-0.05', '+0.14', '-0.02', '-0.26', 1]
['-0.04', '-0.05', '-0.03', '+0.03', 0]
['-0.04', '+0.15', '-0.03', '-0.27', 1]
['-0.04', '-0.05', '-0.03', '+0.01', 0]
['-0.04', '-0.24', '-0.03', '+0.29', 0]
['-0.05', '-0.05', '-0.02', '-0.01', 1]
['-0.05', '-0.24', '-0.02', '+0.28', 0]
['-0.05', '-0.05', '-0.02', '-0.02', 1]
['-0.05', '-0.24', '-0.02', '+0.26', 0]
['-0.06', '-0.05', '-0.01', '-0.04', 1]
['-0.06', '-0.24', '-0.02', '+0.25', 0]
['-0.06', '-0.05', '-0.01', '-0.05', 1]
['-0.07', '-0.24', '-0.01', '+0.24', 0]
['-0.07', '-0.05', '-0.01', '-0.05', 1]
['-0.07', '-0.24', '-0.01', '+0.24', 0]
['-0.08', '-0.05', '-0.00', '-0.06', 1]
['-0.08', '-0.24', '-0.00', '+0.23', 0]
['-0.08', '-0.05', '+0.00', '-0.06', 1]
['-0.08', '-0.24', '-0.00', '+0.23', 0]
['-0.09', '-0.05', '+0.00', '-0.06', 1]
['-0.09', '-0.24', '+0.00', '+0.23', 0]
['-0.09', '-0.05', '+0.01', '-0.06', 1]
['-0.09', '-0.24', '+0.01', '+0.24', 0]
['-0.10', '-0.05', '+0.01', '-0.05', 1]
['-0.10', '-0.24', '+0.01', '+0.24', 0]
['-0.11', '-0.05', '+0.02', '-0.05', 1]
['-0.11', '-0.24', '+0.01', '+0.25', 0]
['-0.11', '-0.05', '+0.02', '-0.04', 1]
['-0.11', '-0.24', '+0.02', '+0.26', 0]
['-0.12', '-0.05', '+0.02', '-0.02', 1]
['-0.12', '-0.24', '+0.02', '+0.28', 0]
['-0.12', '-0.05', '+0.03', '-0.01', 1]
['-0.12', '-0.24', '+0.03', '+0.29', 0]
['-0.13', '-0.05', '+0.03', '+0.01', 1]
['-0.13', '+0.15', '+0.04', '-0.27', 1]
['-0.13', '-0.05', '+0.03', '+0.03', 0]
['-0.13', '+0.14', '+0.03', '-0.25', 1]
['-0.12', '-0.05', '+0.03', '+0.05', 0]
['-0.13', '+0.14', '+0.03', '-0.23', 1]
['-0.12', '-0.05', '+0.02', '+0.07', 0]
['-0.12', '+0.14', '+0.02', '-0.22', 1]
['-0.12', '-0.05', '+0.02', '+0.08', 0]
['-0.12', '+0.14', '+0.02', '-0.21', 1]
['-0.12', '-0.05', '+0.02', '+0.09', 0]
['-0.12', '+0.14', '+0.02', '-0.19', 1]
['-0.12', '-0.05', '+0.01', '+0.10', 0]
['-0.12', '+0.14', '+0.02', '-0.18', 1]
['-0.12', '-0.05', '+0.01', '+0.11', 0]
['-0.12', '+0.14', '+0.01', '-0.18', 1]
['-0.11', '-0.05', '+0.01', '+0.12', 0]
['-0.12', '+0.14', '+0.01', '-0.17', 1]
['-0.11', '-0.05', '+0.01', '+0.13', 0]
['-0.11', '+0.14', '+0.01', '-0.16', 1]
['-0.11', '-0.06', '+0.01', '+0.14', 0]
['-0.11', '+0.14', '+0.01', '-0.15', 1]
['-0.11', '-0.06', '+0.01', '+0.14', 0]
['-0.11', '+0.14', '+0.01', '-0.15', 1]
['-0.11', '-0.06', '+0.01', '+0.15', 0]
['-0.11', '+0.14', '+0.01', '-0.14', 1]
['-0.11', '-0.06', '+0.01', '+0.16', 0]
['-0.11', '+0.14', '+0.01', '-0.13', 1]
['-0.10', '-0.06', '+0.01', '+0.16', 0]
['-0.10', '+0.14', '+0.01', '-0.12', 1]
['-0.10', '-0.06', '+0.01', '+0.17', 0]
['-0.10', '+0.14', '+0.01', '-0.12', 1]
['-0.10', '-0.06', '+0.01', '+0.18', 0]
['-0.10', '+0.14', '+0.02', '-0.11', 1]
['-0.10', '-0.06', '+0.01', '+0.19', 0]
['-0.10', '+0.14', '+0.02', '-0.10', 1]
['-0.10', '-0.06', '+0.02', '+0.20', 0]
['-0.10', '+0.14', '+0.02', '-0.09', 1]
['-0.10', '-0.06', '+0.02', '+0.21', 0]
['-0.10', '+0.14', '+0.02', '-0.08', 1]
['-0.09', '-0.06', '+0.02', '+0.22', 0]
['-0.10', '+0.14', '+0.02', '-0.06', 1]
['-0.09', '-0.06', '+0.02', '+0.24', 0]
['-0.09', '+0.14', '+0.03', '-0.05', 1]
['-0.09', '+0.33', '+0.03', '-0.33', 1]
['-0.08', '+0.13', '+0.02', '-0.03', 0]
['-0.08', '+0.33', '+0.02', '-0.32', 1]
['-0.08', '+0.13', '+0.01', '-0.02', 0]
['-0.07', '+0.33', '+0.01', '-0.31', 1]
['-0.07', '+0.13', '+0.01', '-0.01', 0]
['-0.06', '+0.33', '+0.01', '-0.30', 1]
['-0.06', '+0.13', '+0.00', '-0.01', 0]
['-0.05', '+0.33', '+0.00', '-0.30', 1]
['-0.05', '+0.13', '-0.01', '-0.01', 0]
['-0.04', '+0.33', '-0.01', '-0.30', 1]
['-0.04', '+0.13', '-0.01', '-0.01', 0]
['-0.04', '+0.33', '-0.01', '-0.31', 1]
['-0.03', '+0.13', '-0.02', '-0.02', 0]
['-0.03', '+0.33', '-0.02', '-0.32', 1]
['-0.02', '+0.13', '-0.03', '-0.03', 0]
['-0.02', '+0.33', '-0.03', '-0.33', 1]
['-0.01', '+0.14', '-0.03', '-0.05', 0]
['-0.01', '-0.06', '-0.03', '+0.23', 0]
['-0.01', '+0.14', '-0.03', '-0.07', 1]
['-0.01', '-0.06', '-0.03', '+0.22', 0]
['-0.01', '+0.14', '-0.03', '-0.09', 1]
['-0.00', '-0.06', '-0.03', '+0.20', 0]
['-0.01', '+0.14', '-0.02', '-0.10', 1]
['-0.00', '-0.06', '-0.03', '+0.18', 0]
['-0.00', '+0.14', '-0.02', '-0.12', 1]
['-0.00', '-0.06', '-0.02', '+0.17', 0]
['-0.00', '+0.14', '-0.02', '-0.13', 1]
['+0.00', '-0.06', '-0.02', '+0.15', 0]
['-0.00', '+0.14', '-0.02', '-0.15', 1]
['+0.00', '-0.06', '-0.02', '+0.14', 0]
['+0.00', '+0.14', '-0.02', '-0.16', 1]
['+0.00', '-0.05', '-0.02', '+0.12', 0]
['+0.00', '+0.14', '-0.02', '-0.18', 1]
['+0.01', '-0.05', '-0.03', '+0.11', 0]
['+0.00', '+0.14', '-0.02', '-0.19', 1]
['+0.01', '-0.05', '-0.03', '+0.09', 0]
['+0.01', '+0.14', '-0.02', '-0.21', 1]
['+0.01', '-0.05', '-0.03', '+0.08', 0]
['+0.01', '+0.14', '-0.03', '-0.22', 1]
['+0.01', '-0.05', '-0.03', '+0.06', 0]
['+0.01', '+0.14', '-0.03', '-0.24', 1]
['+0.01', '-0.05', '-0.04', '+0.04', 0]
['+0.01', '+0.14', '-0.03', '-0.26', 1]
['+0.01', '-0.05', '-0.04', '+0.02', 0]
['+0.01', '+0.15', '-0.04', '-0.29', 1]
['+0.02', '-0.05', '-0.05', '-0.01', 0]
['+0.02', '-0.24', '-0.05', '+0.27', 0]
['+0.01', '-0.05', '-0.04', '-0.04', 1]
['+0.01', '-0.24', '-0.04', '+0.24', 0]
['+0.00', '-0.05', '-0.04', '-0.06', 1]
['+0.00', '-0.24', '-0.04', '+0.22', 0]
['-0.00', '-0.05', '-0.03', '-0.08', 1]
['-0.00', '-0.24', '-0.03', '+0.20', 0]
['-0.01', '-0.04', '-0.03', '-0.11', 1]
['-0.01', '-0.24', '-0.03', '+0.18', 0]
['-0.01', '-0.04', '-0.03', '-0.13', 1]
['-0.01', '-0.24', '-0.03', '+0.16', 0]
['-0.02', '-0.04', '-0.03', '-0.14', 1]
['-0.02', '-0.24', '-0.03', '+0.14', 0]
['-0.02', '-0.04', '-0.03', '-0.16', 1]
['-0.02', '-0.24', '-0.03', '+0.12', 0]
['-0.03', '-0.04', '-0.03', '-0.18', 1]
['-0.03', '-0.24', '-0.03', '+0.10', 0]
['-0.03', '-0.04', '-0.03', '-0.20', 1]
['-0.03', '+0.23', '+0.01', '-0.30', 1]
['-0.02', '+0.04', '+0.01', '-0.00', 0]
['-0.02', '+0.23', '+0.01', '-0.29', 1]
['-0.02', '+0.04', '+0.00', '-0.00', 0]
['-0.01', '+0.23', '+0.00', '-0.29', 1]
['-0.01', '+0.04', '-0.01', '+0.00', 0]
['-0.01', '+0.23', '-0.01', '-0.29', 1]
['-0.00', '+0.04', '-0.01', '-0.00', 0]
['-0.00', '+0.23', '-0.01', '-0.30', 1]
['+0.00', '+0.04', '-0.02', '-0.01', 0]
['+0.00', '+0.23', '-0.02', '-0.31', 1]
['+0.01', '+0.04', '-0.02', '-0.02', 0]
['+0.01', '+0.23', '-0.02', '-0.32', 1]
['+0.01', '+0.04', '-0.03', '-0.04', 0]
['+0.01', '-0.16', '-0.03', '+0.25', 0]
['+0.01', '+0.04', '-0.03', '-0.06', 1]
['+0.01', '-0.15', '-0.03', '+0.23', 0]
['+0.01', '+0.04', '-0.02', '-0.07', 1]
['+0.01', '-0.15', '-0.02', '+0.21', 0]
['+0.00', '+0.04', '-0.02', '-0.09', 1]
['+0.01', '-0.15', '-0.02', '+0.20', 0]
['+0.00', '+0.04', '-0.02', '-0.10', 1]
['+0.00', '-0.15', '-0.02', '+0.19', 0]
['+0.00', '+0.04', '-0.02', '-0.11', 1]
['+0.00', '-0.15', '-0.02', '+0.17', 0]
['-0.00', '+0.04', '-0.02', '-0.12', 1]
['-0.00', '-0.15', '-0.02', '+0.16', 0]
['-0.00', '+0.04', '-0.01', '-0.13', 1]
['-0.00', '-0.15', '-0.02', '+0.15', 0]
['-0.01', '+0.04', '-0.01', '-0.14', 1]
['-0.01', '-0.15', '-0.02', '+0.14', 0]
['-0.01', '+0.04', '-0.01', '-0.15', 1]
['-0.01', '-0.15', '-0.02', '+0.13', 0]
['-0.01', '+0.04', '-0.01', '-0.16', 1]
['-0.01', '-0.15', '-0.02', '+0.12', 0]
['-0.01', '+0.05', '-0.02', '-0.17', 1]
['-0.01', '-0.15', '-0.02', '+0.11', 0]
['-0.01', '+0.05', '-0.02', '-0.18', 1]
['-0.01', '-0.15', '-0.02', '+0.10', 0]
['-0.02', '+0.05', '-0.02', '-0.20', 1]
['-0.02', '-0.15', '-0.02', '+0.09', 0]
['-0.02', '+0.05', '-0.02', '-0.21', 1]
['-0.02', '-0.15', '-0.02', '+0.08', 0]
['-0.02', '+0.05', '-0.02', '-0.22', 1]
['-0.02', '-0.15', '-0.03', '+0.06', 0]
['-0.02', '+0.05', '-0.03', '-0.24', 1]
['-0.02', '-0.15', '-0.03', '+0.05', 0]
['-0.02', '+0.05', '-0.03', '-0.26', 1]
['-0.02', '-0.15', '-0.03', '+0.03', 0]
['-0.03', '+0.05', '-0.03', '-0.28', 1]
['-0.03', '-0.14', '-0.04', '+0.00', 0]
['-0.03', '-0.34', '-0.04', '+0.28', 0]
['-0.04', '-0.14', '-0.03', '-0.02', 1]
['-0.04', '-0.34', '-0.03', '+0.26', 0]
['-0.04', '-0.14', '-0.03', '-0.04', 1]
['-0.05', '-0.34', '-0.03', '+0.24', 0]
['-0.05', '-0.14', '-0.03', '-0.06', 1]
['-0.06', '-0.34', '-0.03', '+0.22', 0]
['-0.06', '-0.14', '-0.02', '-0.08', 1]
['-0.07', '-0.34', '-0.02', '+0.21', 0]
