['-0.00', '+0.94', '-0.13', '-0.15', '+0.00', '-0.01', '+0.00', '+0.00', 3]
['-0.03', '+0.22', '+0.11', '-0.30', '-0.06', '+0.04', '+0.00', '+0.00', 2]
['-0.03', '+0.21', '+0.11', '-0.26', '-0.06', '+0.03', '+0.00', '+0.00', 2]
['-0.03', '+0.21', '+0.11', '-0.29', '-0.06', '+0.03', '+0.00', '+0.00', 0]
['-0.03', '+0.20', '+0.11', '-0.31', '-0.06', '+0.03', '+0.00', '+0.00', 0]
['-0.03', '+0.20', '+0.11', '-0.30', '-0.06', '+0.03', '+0.00', '+0.00', 2]
['-0.03', '+0.19', '+0.13', '-0.26', '-0.06', '+0.04', '+0.00', '+0.00', 2]
['-0.03', '+0.19', '+0.13', '-0.29', '-0.05', '+0.04', '+0.00', '+0.00', 0]
['-0.03', '+0.19', '+0.14', '-0.27', '-0.05', '+0.05', '+0.00', '+0.00', 2]
['-0.02', '+0.18', '+0.14', '-0.29', '-0.05', '+0.05', '+0.00', '+0.00', 0]
['-0.02', '+0.18', '+0.17', '-0.25', '-0.04', '+0.07', '+0.00', '+0.00', 2]
['-0.02', '+0.17', '+0.17', '-0.28', '-0.04', '+0.07', '+0.00', '+0.00', 0]
['-0.02', '+0.17', '+0.16', '-0.27', '-0.04', '+0.06', '+0.00', '+0.00', 2]
['-0.02', '+0.17', '+0.17', '-0.25', '-0.04', '+0.07', '+0.00', '+0.00', 2]
['-0.02', '+0.16', '+0.17', '-0.27', '-0.03', '+0.07', '+0.00', '+0.00', 0]
['-0.01', '+0.16', '+0.18', '-0.25', '-0.03', '+0.07', '+0.00', '+0.00', 2]
['-0.01', '+0.15', '+0.19', '-0.22', '-0.02', '+0.08', '+0.00', '+0.00', 2]
['-0.01', '+0.15', '+0.19', '-0.24', '-0.02', '+0.08', '+0.00', '+0.00', 0]
['-0.01', '+0.15', '+0.19', '-0.27', '-0.02', '+0.08', '+0.00', '+0.00', 0]
['-0.01', '+0.14', '+0.21', '-0.27', '-0.01', '+0.10', '+0.00', '+0.00', 2]
['-0.00', '+0.14', '+0.20', '-0.23', '-0.01', '+0.08', '+0.00', '+0.00', 2]
['-0.00', '+0.14', '+0.20', '-0.26', '-0.00', '+0.08', '+0.00', '+0.00', 0]
['+0.00', '+0.13', '+0.21', '-0.23', '+0.00', '+0.10', '+0.00', '+0.00', 2]
['+0.00', '+0.13', '+0.21', '-0.25', '+0.01', '+0.10', '+0.00', '+0.00', 0]
['+0.00', '+0.12', '+0.20', '-0.26', '+0.01', '+0.09', '+0.00', '+0.00', 2]
['+0.01', '+0.12', '+0.19', '-0.21', '+0.02', '+0.08', '+0.00', '+0.00', 2]
['+0.01', '+0.12', '+0.19', '-0.24', '+0.02', '+0.08', '+0.00', '+0.00', 0]
['+0.01', '+0.11', '+0.19', '-0.24', '+0.02', '+0.09', '+0.00', '+0.00', 2]
['+0.01', '+0.11', '+0.18', '-0.21', '+0.03', '+0.08', '+0.00', '+0.00', 2]
['+0.01', '+0.11', '+0.18', '-0.19', '+0.03', '+0.08', '+0.00', '+0.00', 2]
['+0.02', '+0.10', '+0.18', '-0.22', '+0.04', '+0.08', '+0.00', '+0.00', 0]
['+0.02', '+0.10', '+0.18', '-0.22', '+0.04', '+0.08', '+0.00', '+0.00', 2]
['+0.02', '+0.10', '+0.18', '-0.19', '+0.04', '+0.08', '+0.00', '+0.00', 2]
['+0.02', '+0.10', '+0.16', '-0.18', '+0.05', '+0.06', '+0.00', '+0.00', 2]
['+0.02', '+0.09', '+0.16', '-0.21', '+0.05', '+0.06', '+0.00', '+0.00', 0]
['+0.02', '+0.09', '+0.15', '-0.20', '+0.05', '+0.06', '+0.00', '+0.00', 2]
['+0.03', '+0.09', '+0.16', '-0.16', '+0.06', '+0.07', '+0.00', '+0.00', 2]
['+0.03', '+0.08', '+0.16', '-0.19', '+0.06', '+0.07', '+0.00', '+0.00', 0]
['+0.03', '+0.08', '+0.15', '-0.18', '+0.06', '+0.06', '+0.00', '+0.00', 2]
['+0.03', '+0.08', '+0.15', '-0.15', '+0.07', '+0.07', '+0.00', '+0.00', 2]
['+0.03', '+0.08', '+0.15', '-0.17', '+0.07', '+0.07', '+0.00', '+0.00', 0]
['+0.03', '+0.07', '+0.13', '-0.17', '+0.07', '+0.06', '+0.00', '+0.00', 2]
['+0.04', '+0.07', '+0.13', '-0.16', '+0.08', '+0.06', '+0.00', '+0.00', 2]
['+0.04', '+0.07', '+0.12', '-0.12', '+0.08', '+0.06', '+0.00', '+0.00', 2]
['+0.04', '+0.07', '+0.12', '-0.14', '+0.08', '+0.06', '+0.00', '+0.00', 0]
['+0.04', '+0.07', '+0.12', '-0.17', '+0.08', '+0.06', '+0.00', '+0.00', 0]
['+0.04', '+0.06', '+0.11', '-0.13', '+0.09', '+0.05', '+0.00', '+0.00', 2]
['+0.04', '+0.06', '+0.11', '-0.16', '+0.09', '+0.05', '+0.00', '+0.00', 0]
['+0.04', '+0.06', '+0.11', '-0.15', '+0.09', '+0.06', '+0.00', '+0.00', 2]
['+0.04', '+0.06', '+0.12', '-0.14', '+0.10', '+0.07', '+0.00', '+0.00', 2]
['+0.04', '+0.05', '+0.10', '-0.12', '+0.10', '+0.06', '+0.00', '+0.00', 2]
['+0.05', '+0.05', '+0.10', '-0.15', '+0.10', '+0.06', '+0.00', '+0.00', 0]
['+0.05', '+0.05', '+0.09', '-0.15', '+0.10', '+0.05', '+0.00', '+0.00', 2]
['+0.05', '+0.05', '+0.09', '-0.11', '+0.11', '+0.07', '+0.00', '+0.00', 2]
['+0.05', '+0.05', '+0.10', '-0.13', '+0.11', '+0.03', '+0.00', '+0.00', 3]
['+0.05', '+0.04', '+0.11', '-0.12', '+0.11', '+0.04', '+0.00', '+0.00', 2]
['+0.05', '+0.04', '+0.12', '-0.12', '+0.11', '+0.06', '+0.00', '+0.00', 2]
['+0.05', '+0.04', '+0.12', '-0.08', '+0.12', '+0.07', '+0.00', '+0.00', 2]
['+0.05', '+0.04', '+0.13', '-0.10', '+0.12', '+0.02', '+0.00', '+0.00', 3]
['+0.05', '+0.04', '+0.13', '-0.13', '+0.12', '+0.02', '+0.00', '+0.00', 0]
['+0.06', '+0.04', '+0.13', '-0.11', '+0.12', '+0.03', '+0.00', '+0.00', 2]
['+0.06', '+0.04', '+0.12', '-0.07', '+0.12', '+0.04', '+0.00', '+0.00', 2]
['+0.06', '+0.03', '+0.12', '-0.10', '+0.13', '+0.04', '+0.00', '+0.00', 0]
['+0.06', '+0.03', '+0.12', '-0.12', '+0.13', '+0.04', '+0.00', '+0.00', 0]
['+0.06', '+0.03', '+0.11', '-0.08', '+0.13', '+0.03', '+0.00', '+0.00', 2]
['+0.06', '+0.03', '+0.11', '-0.11', '+0.13', '+0.03', '+0.00', '+0.00', 0]
['+0.06', '+0.03', '+0.09', '-0.11', '+0.13', '+0.02', '+0.00', '+0.00', 2]
['+0.06', '+0.03', '+0.08', '-0.09', '+0.13', '+0.02', '+0.00', '+0.00', 2]
['+0.06', '+0.02', '+0.08', '-0.12', '+0.13', '+0.02', '+0.00', '+0.00', 0]
['+0.06', '+0.02', '+0.06', '-0.10', '+0.13', '+0.01', '+0.00', '+0.00', 2]
['+0.07', '+0.02', '+0.07', '-0.09', '+0.13', '+0.02', '+0.00', '+0.00', 2]
['+0.07', '+0.02', '+0.06', '-0.04', '+0.14', '+0.03', '+0.00', '+0.00', 2]
['+0.07', '+0.02', '+0.07', '-0.07', '+0.14', '-0.00', '+0.00', '+0.00', 3]
['+0.07', '+0.02', '+0.07', '-0.10', '+0.14', '-0.00', '+0.00', '+0.00', 0]
['+0.07', '+0.02', '+0.05', '-0.09', '+0.14', '-0.01', '+0.00', '+0.00', 2]
['+0.07', '+0.02', '+0.06', '-0.06', '+0.14', '+0.01', '+0.00', '+0.00', 2]
['+0.07', '+0.02', '+0.06', '-0.09', '+0.14', '+0.01', '+0.00', '+0.00', 0]
['+0.07', '+0.01', '+0.04', '-0.05', '+0.14', '+0.00', '+0.00', '+0.00', 2]
['+0.07', '+0.01', '+0.04', '-0.08', '+0.14', '+0.00', '+0.00', '+0.00', 0]
['+0.07', '+0.01', '+0.02', '-0.08', '+0.14', '-0.01', '+0.00', '+0.00', 2]
['+0.07', '+0.01', '+0.02', '-0.06', '+0.14', '-0.01', '+0.00', '+0.00', 2]
['+0.07', '+0.01', '+0.02', '-0.08', '+0.13', '-0.01', '+0.00', '+0.00', 0]
['+0.07', '+0.01', '+0.01', '-0.05', '+0.13', '-0.18', '+0.00', '+1.00', 2]
['+0.07', '+0.01', '+0.01', '-0.06', '+0.11', '-0.25', '+0.00', '+1.00', 0]
['+0.07', '+0.01', '+0.01', '-0.08', '+0.10', '-0.33', '+0.00', '+1.00', 0]
['+0.07', '+0.01', '+0.01', '-0.10', '+0.08', '-0.40', '+0.00', '+1.00', 0]
['+0.07', '+0.00', '+0.03', '-0.10', '+0.06', '-0.38', '+0.00', '+1.00', 2]
['+0.07', '+0.00', '+0.01', '-0.07', '+0.04', '-0.39', '+0.00', '+1.00', 2]
['+0.07', '+0.00', '+0.01', '-0.10', '+0.02', '-0.39', '+0.00', '+1.00', 0]
['+0.07', '-0.00', '+0.01', '-0.09', '-0.00', '-0.40', '+0.00', '+0.00', 2]
['+0.07', '-0.00', '-0.00', '-0.12', '-0.02', '-0.37', '+1.00', '+0.00', 1]
['+0.07', '-0.00', '-0.00', '-0.09', '-0.03', '-0.11', '+1.00', '+0.00', 2]
['+0.07', '-0.00', '-0.00', '-0.06', '-0.03', '-0.11', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '-0.00', '-0.03', '-0.04', '-0.12', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '+0.00', '-0.00', '-0.04', '-0.12', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '-0.00', '+0.01', '-0.04', '+0.03', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '+0.00', '+0.02', '-0.04', '+0.08', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '+0.00', '+0.03', '-0.03', '+0.11', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '+0.00', '+0.04', '-0.03', '+0.12', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '+0.00', '+0.04', '-0.02', '+0.12', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '+0.00', '+0.03', '-0.02', '+0.10', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '+0.00', '+0.02', '-0.01', '+0.08', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '+0.00', '+0.02', '-0.01', '+0.06', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '-0.00', '+0.01', '-0.01', '+0.04', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '-0.00', '+0.01', '-0.01', '+0.03', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '-0.00', '+0.01', '-0.00', '+0.03', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '-0.00', '+0.01', '-0.00', '+0.04', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '+0.00', '+0.01', '+0.00', '+0.05', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '-0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '+0.00', '-0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '-0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '-0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '-0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.07', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.01', '+0.93', '+0.60', '-0.32', '-0.01', '-0.11', '+0.00', '+0.00', 1]
['+0.02', '+0.93', '+0.59', '-0.35', '-0.02', '-0.07', '+0.00', '+0.00', 1]
['+0.02', '+0.92', '+0.58', '-0.37', '-0.02', '-0.02', '+0.00', '+0.00', 1]
['+0.03', '+0.91', '+0.57', '-0.40', '-0.02', '+0.01', '+0.00', '+0.00', 1]
['+0.03', '+0.91', '+0.56', '-0.43', '-0.01', '+0.06', '+0.00', '+0.00', 1]
['+0.04', '+0.90', '+0.55', '-0.45', '-0.01', '+0.10', '+0.00', '+0.00', 1]
['+0.05', '+0.89', '+0.54', '-0.48', '-0.00', '+0.14', '+0.00', '+0.00', 1]
['+0.05', '+0.89', '+0.53', '-0.51', '+0.01', '+0.18', '+0.00', '+0.00', 1]
['+0.06', '+0.88', '+0.53', '-0.53', '+0.02', '+0.18', '+0.00', '+0.00', 0]
['+0.06', '+0.87', '+0.53', '-0.56', '+0.03', '+0.18', '+0.00', '+0.00', 0]
['+0.07', '+0.86', '+0.53', '-0.59', '+0.04', '+0.18', '+0.00', '+0.00', 0]
['+0.07', '+0.85', '+0.53', '-0.61', '+0.04', '+0.18', '+0.00', '+0.00', 0]
['+0.08', '+0.84', '+0.53', '-0.64', '+0.05', '+0.18', '+0.00', '+0.00', 0]
['+0.08', '+0.83', '+0.53', '-0.67', '+0.06', '+0.18', '+0.00', '+0.00', 0]
['+0.09', '+0.82', '+0.53', '-0.69', '+0.07', '+0.18', '+0.00', '+0.00', 0]
['+0.09', '+0.81', '+0.53', '-0.72', '+0.08', '+0.18', '+0.00', '+0.00', 0]
['+0.10', '+0.80', '+0.53', '-0.75', '+0.09', '+0.18', '+0.00', '+0.00', 0]
['+0.10', '+0.79', '+0.53', '-0.77', '+0.10', '+0.18', '+0.00', '+0.00', 0]
['+0.11', '+0.78', '+0.53', '-0.80', '+0.11', '+0.18', '+0.00', '+0.00', 0]
['+0.12', '+0.76', '+0.53', '-0.83', '+0.12', '+0.18', '+0.00', '+0.00', 0]
['+0.12', '+0.75', '+0.53', '-0.81', '+0.13', '+0.20', '+0.00', '+0.00', 2]
['+0.13', '+0.74', '+0.54', '-0.81', '+0.14', '+0.21', '+0.00', '+0.00', 2]
['+0.13', '+0.73', '+0.55', '-0.83', '+0.15', '+0.16', '+0.00', '+0.00', 3]
['+0.14', '+0.72', '+0.55', '-0.81', '+0.16', '+0.17', '+0.00', '+0.00', 2]
['+0.14', '+0.70', '+0.53', '-0.78', '+0.16', '+0.17', '+0.00', '+0.00', 2]
['+0.15', '+0.69', '+0.51', '-0.76', '+0.17', '+0.16', '+0.00', '+0.00', 2]
['+0.15', '+0.68', '+0.49', '-0.73', '+0.18', '+0.15', '+0.00', '+0.00', 2]
['+0.16', '+0.67', '+0.49', '-0.70', '+0.19', '+0.17', '+0.00', '+0.00', 2]
['+0.16', '+0.66', '+0.50', '-0.72', '+0.19', '+0.13', '+0.00', '+0.00', 3]
['+0.17', '+0.65', '+0.46', '-0.68', '+0.20', '+0.11', '+0.00', '+0.00', 2]
['+0.17', '+0.64', '+0.46', '-0.67', '+0.21', '+0.12', '+0.00', '+0.00', 2]
['+0.18', '+0.63', '+0.45', '-0.65', '+0.21', '+0.13', '+0.00', '+0.00', 2]
['+0.18', '+0.62', '+0.46', '-0.64', '+0.22', '+0.14', '+0.00', '+0.00', 2]
['+0.19', '+0.61', '+0.45', '-0.61', '+0.23', '+0.16', '+0.00', '+0.00', 2]
['+0.19', '+0.60', '+0.46', '-0.63', '+0.23', '+0.13', '+0.00', '+0.00', 3]
['+0.20', '+0.59', '+0.46', '-0.61', '+0.24', '+0.14', '+0.00', '+0.00', 2]
['+0.20', '+0.58', '+0.45', '-0.58', '+0.25', '+0.15', '+0.00', '+0.00', 2]
['+0.20', '+0.57', '+0.46', '-0.61', '+0.25', '+0.10', '+0.00', '+0.00', 3]
['+0.21', '+0.57', '+0.45', '-0.60', '+0.26', '+0.11', '+0.00', '+0.00', 2]
['+0.21', '+0.56', '+0.43', '-0.59', '+0.26', '+0.10', '+0.00', '+0.00', 2]
['+0.22', '+0.55', '+0.42', '-0.59', '+0.27', '+0.10', '+0.00', '+0.00', 2]
['+0.22', '+0.54', '+0.42', '-0.57', '+0.27', '+0.12', '+0.00', '+0.00', 2]
['+0.23', '+0.53', '+0.41', '-0.57', '+0.28', '+0.12', '+0.00', '+0.00', 2]
