['-0.29', '+0.76', '+0.02', '-0.42', 1]
['-0.11', '+0.90', '-0.02', '-0.45', 1]
['-0.09', '+0.70', '-0.03', '-0.16', 0]
['-0.07', '+0.90', '-0.03', '-0.46', 1]
['-0.06', '+0.70', '-0.04', '-0.18', 0]
['-0.04', '+0.90', '-0.05', '-0.49', 1]
['-0.02', '+0.70', '-0.06', '-0.21', 0]
['-0.01', '+0.51', '-0.06', '+0.06', 0]
['+0.00', '+0.71', '-0.06', '-0.25', 1]
['+0.02', '+0.51', '-0.07', '+0.02', 0]
['+0.03', '+0.71', '-0.07', '-0.29', 1]
['+0.04', '+0.51', '-0.07', '-0.02', 0]
['+0.05', '+0.71', '-0.07', '-0.33', 1]
['+0.06', '+0.52', '-0.08', '-0.06', 0]
['+0.07', '+0.71', '-0.08', '-0.38', 1]
['+0.09', '+0.52', '-0.09', '-0.11', 0]
['+0.10', '+0.71', '-0.09', '-0.43', 1]
['+0.11', '+0.52', '-0.10', '-0.17', 0]
['+0.12', '+0.33', '-0.10', '+0.09', 0]
['+0.13', '+0.52', '-0.10', '-0.23', 1]
['+0.14', '+0.33', '-0.10', '+0.03', 0]
['+0.15', '+0.53', '-0.10', '-0.29', 1]
['+0.16', '+0.33', '-0.11', '-0.03', 0]
['+0.16', '+0.53', '-0.11', '-0.36', 1]
['+0.18', '+0.34', '-0.12', '-0.10', 0]
['+0.18', '+0.53', '-0.12', '-0.43', 1]
['+0.19', '+0.34', '-0.13', '-0.18', 0]
['+0.20', '+0.15', '-0.13', '+0.07', 0]
['+0.20', '+0.34', '-0.13', '-0.26', 1]
['+0.21', '+0.15', '-0.13', '-0.01', 0]
['+0.21', '+0.35', '-0.13', '-0.34', 1]
['+0.22', '+0.15', '-0.14', '-0.09', 0]
['+0.22', '-0.04', '-0.14', '+0.15', 0]
['+0.22', '+0.16', '-0.14', '-0.18', 1]
['+0.22', '-0.04', '-0.14', '+0.06', 0]
['+0.22', '+0.16', '-0.14', '-0.27', 1]
['+0.23', '-0.03', '-0.15', '-0.03', 0]
['+0.23', '-0.22', '-0.15', '+0.21', 0]
['+0.22', '-0.03', '-0.14', '-0.12', 1]
['+0.22', '-0.22', '-0.15', '+0.12', 0]
['+0.22', '-0.02', '-0.14', '-0.21', 1]
['+0.22', '-0.22', '-0.15', '+0.03', 0]
['+0.21', '-0.41', '-0.15', '+0.27', 0]
['+0.20', '-0.21', '-0.14', '-0.06', 1]
['+0.20', '-0.40', '-0.14', '+0.18', 0]
['+0.19', '-0.21', '-0.14', '-0.15', 1]
['+0.19', '-0.40', '-0.14', '+0.09', 0]
['+0.18', '-0.59', '-0.14', '+0.34', 0]
['+0.17', '-0.40', '-0.14', '+0.00', 1]
['+0.16', '-0.59', '-0.14', '+0.25', 0]
['+0.15', '-0.39', '-0.13', '-0.08', 1]
['+0.14', '-0.59', '-0.13', '+0.17', 0]
['+0.13', '-0.39', '-0.13', '-0.17', 1]
['+0.12', '-0.58', '-0.13', '+0.08', 0]
['+0.11', '-0.77', '-0.13', '+0.33', 0]
['+0.09', '-0.58', '-0.12', '+0.00', 1]
['+0.08', '-0.77', '-0.12', '+0.25', 0]
['+0.07', '-0.57', '-0.12', '-0.08', 1]
['+0.06', '-0.77', '-0.12', '+0.18', 0]
['+0.04', '-0.96', '-0.12', '+0.43', 0]
['+0.02', '-0.76', '-0.11', '+0.10', 1]
['+0.01', '-0.96', '-0.11', '+0.36', 0]
['-0.01', '-0.76', '-0.10', '+0.03', 1]
['+0.01', '+0.18', '-0.03', '-0.27', 1]
['+0.01', '-0.01', '-0.04', '+0.01', 0]
['+0.01', '+0.19', '-0.04', '-0.29', 1]
['+0.02', '-0.01', '-0.04', '-0.01', 0]
['+0.02', '+0.19', '-0.04', '-0.32', 1]
['+0.02', '-0.01', '-0.05', '-0.04', 0]
['+0.02', '-0.20', '-0.05', '+0.24', 0]
['+0.02', '-0.01', '-0.04', '-0.07', 1]
['+0.02', '-0.20', '-0.05', '+0.21', 0]
['+0.01', '-0.01', '-0.04', '-0.10', 1]
['+0.01', '-0.20', '-0.04', '+0.18', 0]
['+0.01', '-0.00', '-0.04', '-0.13', 1]
['+0.01', '-0.20', '-0.04', '+0.15', 0]
['+0.00', '-0.00', '-0.04', '-0.15', 1]
['+0.00', '-0.20', '-0.04', '+0.13', 0]
['-0.00', '-0.00', '-0.04', '-0.18', 1]
['-0.00', '-0.20', '-0.04', '+0.10', 0]
['-0.00', '-0.00', '-0.04', '-0.20', 1]
['-0.00', '-0.20', '-0.05', '+0.07', 0]
['-0.01', '+0.00', '-0.04', '-0.23', 1]
['-0.01', '-0.19', '-0.05', '+0.05', 0]
['-0.01', '+0.00', '-0.05', '-0.26', 1]
['-0.01', '-0.19', '-0.05', '+0.02', 0]
['-0.02', '-0.39', '-0.05', '+0.29', 0]
['-0.02', '-0.19', '-0.05', '-0.02', 1]
['-0.03', '-0.39', '-0.05', '+0.26', 0]
['-0.04', '-0.19', '-0.04', '-0.05', 1]
['-0.04', '-0.38', '-0.04', '+0.23', 0]
['-0.05', '-0.19', '-0.04', '-0.08', 1]
['-0.05', '-0.38', '-0.04', '+0.20', 0]
['-0.06', '-0.19', '-0.04', '-0.10', 1]
['-0.06', '-0.38', '-0.04', '+0.18', 0]
['-0.07', '-0.19', '-0.03', '-0.12', 1]
['-0.07', '-0.38', '-0.04', '+0.16', 0]
['-0.08', '-0.19', '-0.03', '-0.15', 1]
['-0.08', '-0.38', '-0.04', '+0.13', 0]
['-0.09', '-0.18', '-0.03', '-0.17', 1]
['-0.10', '-0.38', '-0.04', '+0.11', 0]
['-0.10', '-0.18', '-0.04', '-0.19', 1]
['-0.11', '-0.38', '-0.04', '+0.09', 0]
['-0.11', '-0.57', '-0.04', '+0.37', 0]
['-0.13', '-0.38', '-0.03', '+0.06', 1]
['-0.13', '-0.57', '-0.03', '+0.35', 0]
['-0.15', '-0.38', '-0.02', '+0.05', 1]
['-0.15', '-0.57', '-0.02', '+0.33', 0]
['-0.16', '-0.38', '-0.01', '+0.03', 1]
['-0.17', '-0.57', '-0.01', '+0.32', 0]
['-0.18', '-0.37', '-0.01', '+0.02', 1]
['-0.19', '-0.57', '-0.01', '+0.31', 0]
['-0.20', '-0.37', '-0.00', '+0.02', 1]
['-0.21', '-0.57', '-0.00', '+0.31', 0]
['-0.22', '-0.37', '+0.01', '+0.02', 1]
['-0.23', '-0.57', '+0.01', '+0.31', 0]
['-0.24', '-0.37', '+0.01', '+0.02', 1]
['-0.25', '-0.57', '+0.01', '+0.32', 0]
['-0.26', '-0.38', '+0.02', '+0.03', 1]
['-0.27', '-0.57', '+0.02', '+0.33', 0]
['-0.28', '-0.38', '+0.03', '+0.04', 1]
['-0.28', '-0.57', '+0.03', '+0.34', 0]
['-0.30', '-0.38', '+0.03', '+0.06', 1]
['-0.30', '-0.57', '+0.04', '+0.36', 0]
['-0.32', '-0.38', '+0.04', '+0.08', 1]
['-0.32', '-0.18', '+0.04', '-0.20', 1]
['-0.33', '-0.38', '+0.04', '+0.11', 0]
['-0.33', '-0.18', '+0.04', '-0.17', 1]
['-0.34', '-0.38', '+0.04', '+0.14', 0]
['-0.35', '-0.19', '+0.04', '-0.14', 1]
['-0.35', '-0.38', '+0.04', '+0.16', 0]
['-0.36', '-0.19', '+0.04', '-0.12', 1]
['-0.36', '-0.38', '+0.04', '+0.19', 0]
['-0.37', '-0.19', '+0.04', '-0.09', 1]
['-0.37', '-0.38', '+0.04', '+0.22', 0]
['-0.38', '-0.19', '+0.05', '-0.06', 1]
['-0.38', '-0.38', '+0.05', '+0.24', 0]
['-0.39', '-0.19', '+0.05', '-0.03', 1]
['-0.39', '-0.39', '+0.05', '+0.27', 0]
['-0.40', '-0.19', '+0.06', '-0.00', 1]
['-0.41', '-0.39', '+0.06', '+0.31', 0]
['-0.41', '-0.19', '+0.06', '+0.03', 1]
['-0.42', '+0.00', '+0.06', '-0.24', 1]
['-0.42', '-0.20', '+0.06', '+0.07', 0]
['-0.42', '-0.00', '+0.06', '-0.20', 1]
['-0.42', '-0.20', '+0.05', '+0.11', 0]
['-0.43', '-0.00', '+0.06', '-0.17', 1]
['-0.43', '-0.20', '+0.05', '+0.14', 0]
['-0.43', '-0.00', '+0.06', '-0.13', 1]
['-0.43', '-0.20', '+0.05', '+0.18', 0]
['-0.43', '-0.01', '+0.06', '-0.10', 1]
['-0.43', '-0.20', '+0.06', '+0.21', 0]
['-0.44', '-0.01', '+0.06', '-0.06', 1]
['-0.44', '-0.20', '+0.06', '+0.25', 0]
['-0.44', '-0.01', '+0.06', '-0.02', 1]
['-0.44', '-0.20', '+0.06', '+0.29', 0]
['-0.45', '-0.01', '+0.07', '+0.02', 1]
['-0.45', '+0.18', '+0.07', '-0.26', 1]
['-0.44', '-0.01', '+0.06', '+0.06', 0]
['-0.44', '+0.18', '+0.07', '-0.21', 1]
['-0.44', '-0.01', '+0.06', '+0.10', 0]
['-0.44', '+0.18', '+0.06', '-0.17', 1]
['-0.44', '-0.02', '+0.06', '+0.14', 0]
['-0.44', '+0.18', '+0.06', '-0.14', 1]
['-0.43', '-0.02', '+0.06', '+0.18', 0]
['-0.43', '+0.18', '+0.06', '-0.10', 1]
['-0.43', '-0.02', '+0.06', '+0.21', 0]
['-0.43', '+0.17', '+0.07', '-0.06', 1]
['-0.43', '+0.37', '+0.06', '-0.33', 1]
['-0.42', '+0.17', '+0.06', '-0.02', 0]
['-0.42', '+0.37', '+0.06', '-0.29', 1]
['-0.41', '+0.17', '+0.05', '+0.02', 0]
['-0.41', '+0.37', '+0.05', '-0.26', 1]
['-0.40', '+0.17', '+0.05', '+0.05', 0]
['-0.39', '+0.36', '+0.05', '-0.23', 1]
['-0.39', '+0.17', '+0.04', '+0.08', 0]
['-0.38', '+0.36', '+0.04', '-0.20', 1]
['-0.38', '+0.17', '+0.04', '+0.11', 0]
['-0.37', '+0.36', '+0.04', '-0.17', 1]
['-0.37', '+0.17', '+0.04', '+0.13', 0]
['-0.36', '+0.36', '+0.04', '-0.15', 1]
['-0.36', '+0.16', '+0.04', '+0.16', 0]
['-0.35', '+0.36', '+0.04', '-0.12', 1]
['-0.35', '+0.55', '+0.04', '-0.40', 1]
['-0.33', '+0.36', '+0.03', '-0.09', 0]
['-0.33', '+0.55', '+0.03', '-0.38', 1]
['-0.32', '+0.36', '+0.02', '-0.07', 0]
['-0.31', '+0.55', '+0.02', '-0.36', 1]
['-0.30', '+0.36', '+0.01', '-0.06', 0]
['-0.29', '+0.55', '+0.01', '-0.35', 1]
['-0.28', '+0.36', '+0.01', '-0.05', 0]
['-0.27', '+0.55', '+0.00', '-0.34', 1]
['-0.26', '+0.36', '-0.00', '-0.05', 0]
['-0.25', '+0.55', '-0.00', '-0.34', 1]
['-0.24', '+0.36', '-0.01', '-0.05', 0]
['-0.24', '+0.55', '-0.01', '-0.35', 1]
['-0.23', '+0.36', '-0.02', '-0.06', 0]
['-0.22', '+0.55', '-0.02', '-0.36', 1]
['-0.21', '+0.36', '-0.03', '-0.07', 0]
['-0.20', '+0.55', '-0.03', '-0.37', 1]
['-0.19', '+0.36', '-0.04', '-0.09', 0]
['-0.18', '+0.55', '-0.04', '-0.39', 1]
['-0.17', '+0.36', '-0.04', '-0.11', 0]
['-0.16', '+0.16', '-0.05', '+0.17', 0]
['-0.16', '+0.36', '-0.04', '-0.14', 1]
['-0.15', '+0.17', '-0.05', '+0.14', 0]
['-0.15', '+0.36', '-0.04', '-0.17', 1]
['-0.14', '+0.17', '-0.05', '+0.11', 0]
['-0.14', '+0.36', '-0.04', '-0.19', 1]
['-0.13', '+0.17', '-0.05', '+0.08', 0]
['-0.13', '+0.36', '-0.05', '-0.22', 1]
['-0.12', '+0.17', '-0.05', '+0.05', 0]
['-0.12', '+0.37', '-0.05', '-0.25', 1]
['-0.11', '+0.17', '-0.05', '+0.02', 0]
['-0.11', '+0.37', '-0.05', '-0.29', 1]
['-0.10', '+0.17', '-0.06', '-0.01', 0]
['-0.10', '+0.37', '-0.06', '-0.32', 1]
['-0.09', '+0.17', '-0.07', '-0.05', 0]
['-0.09', '-0.02', '-0.07', '+0.22', 0]
['-0.09', '+0.18', '-0.06', '-0.09', 1]
['-0.08', '-0.02', '-0.07', '+0.18', 0]
['-0.08', '+0.18', '-0.06', '-0.13', 1]
['-0.08', '-0.02', '-0.06', '+0.14', 0]
['-0.08', '+0.18', '-0.06', '-0.17', 1]
['-0.08', '-0.01', '-0.06', '+0.10', 0]
['-0.08', '+0.18', '-0.06', '-0.21', 1]
['-0.07', '-0.01', '-0.07', '+0.06', 0]
['-0.07', '+0.18', '-0.07', '-0.25', 1]
['-0.07', '-0.01', '-0.07', '+0.02', 0]
['-0.07', '-0.20', '-0.07', '+0.29', 0]
['-0.07', '-0.01', '-0.06', '-0.03', 1]
['-0.07', '-0.20', '-0.07', '+0.24', 0]
['-0.08', '-0.01', '-0.06', '-0.07', 1]
['-0.08', '-0.20', '-0.06', '+0.21', 0]
['-0.08', '-0.01', '-0.06', '-0.11', 1]
['-0.08', '-0.20', '-0.06', '+0.17', 0]
['-0.09', '-0.00', '-0.06', '-0.14', 1]
['-0.09', '-0.20', '-0.06', '+0.13', 0]
['-0.09', '-0.00', '-0.06', '-0.18', 1]
['-0.09', '-0.20', '-0.06', '+0.09', 0]
['-0.09', '-0.00', '-0.06', '-0.22', 1]
['-0.09', '-0.19', '-0.06', '+0.06', 0]
['-0.10', '-0.39', '-0.06', '+0.33', 0]
['-0.11', '-0.19', '-0.06', '+0.02', 1]
['-0.11', '-0.39', '-0.05', '+0.29', 0]
['-0.12', '-0.19', '-0.05', '-0.02', 1]
['-0.12', '-0.39', '-0.05', '+0.26', 0]
['-0.13', '-0.19', '-0.04', '-0.05', 1]
['-0.13', '-0.38', '-0.05', '+0.23', 0]
['-0.14', '-0.19', '-0.04', '-0.08', 1]
['-0.14', '-0.38', '-0.04', '+0.20', 0]
['-0.15', '-0.19', '-0.04', '-0.10', 1]
['-0.16', '-0.38', '-0.04', '+0.18', 0]
['-0.16', '-0.19', '-0.04', '-0.13', 1]
['-0.17', '-0.38', '-0.04', '+0.15', 0]
['-0.17', '-0.19', '-0.04', '-0.15', 1]
['-0.18', '-0.38', '-0.04', '+0.13', 0]
['-0.19', '-0.18', '-0.04', '-0.17', 1]
['-0.19', '-0.38', '-0.04', '+0.11', 0]
['-0.20', '-0.57', '-0.04', '+0.39', 0]
['-0.21', '-0.38', '-0.03', '+0.08', 1]
['-0.22', '-0.57', '-0.03', '+0.36', 0]
['-0.23', '-0.38', '-0.02', '+0.06', 1]
['+0.05', '+0.19', '-0.01', '-0.25', 1]
['+0.05', '-0.01', '-0.01', '+0.04', 0]
['+0.05', '+0.19', '-0.01', '-0.25', 1]
['+0.06', '-0.01', '-0.02', '+0.04', 0]
['+0.06', '+0.19', '-0.02', '-0.26', 1]
['+0.06', '-0.01', '-0.02', '+0.03', 0]
['+0.06', '+0.19', '-0.02', '-0.27', 1]
['+0.06', '-0.01', '-0.03', '+0.01', 0]
['+0.06', '+0.19', '-0.02', '-0.29', 1]
['+0.07', '-0.01', '-0.03', '-0.00', 0]
['+0.07', '+0.19', '-0.03', '-0.30', 1]
['+0.07', '-0.00', '-0.04', '-0.02', 0]
['+0.07', '+0.19', '-0.04', '-0.32', 1]
['+0.08', '-0.00', '-0.04', '-0.04', 0]
['+0.08', '+0.19', '-0.04', '-0.35', 1]
['+0.08', '-0.00', '-0.05', '-0.07', 0]
['+0.08', '-0.20', '-0.05', '+0.20', 0]
['+0.08', '-0.00', '-0.05', '-0.10', 1]
['+0.08', '-0.19', '-0.05', '+0.17', 0]
['+0.07', '+0.00', '-0.05', '-0.14', 1]
['+0.07', '-0.19', '-0.05', '+0.14', 0]
['+0.07', '+0.00', '-0.05', '-0.17', 1]
['+0.07', '-0.19', '-0.05', '+0.11', 0]
['+0.06', '+0.00', '-0.05', '-0.20', 1]
['+0.06', '-0.19', '-0.05', '+0.08', 0]
['+0.06', '+0.01', '-0.05', '-0.23', 1]
['+0.06', '-0.19', '-0.06', '+0.05', 0]
['+0.06', '+0.01', '-0.05', '-0.26', 1]
['+0.06', '-0.19', '-0.06', '+0.01', 0]
['+0.05', '-0.38', '-0.06', '+0.28', 0]
['+0.04', '-0.19', '-0.05', '-0.03', 1]
['+0.04', '-0.38', '-0.05', '+0.25', 0]
['+0.03', '-0.18', '-0.05', '-0.06', 1]
['+0.03', '-0.38', '-0.05', '+0.22', 0]
['+0.02', '-0.18', '-0.05', '-0.09', 1]
['+0.02', '-0.38', '-0.05', '+0.19', 0]
['+0.01', '-0.18', '-0.04', '-0.12', 1]
['+0.01', '-0.38', '-0.05', '+0.16', 0]
['+0.00', '-0.18', '-0.04', '-0.15', 1]
['-0.00', '-0.37', '-0.05', '+0.13', 0]
['-0.01', '-0.18', '-0.04', '-0.18', 1]
['-0.01', '-0.37', '-0.05', '+0.10', 0]
['-0.02', '-0.57', '-0.05', '+0.38', 0]
['-0.03', '-0.37', '-0.04', '+0.07', 1]
['-0.04', '-0.57', '-0.04', '+0.35', 0]
['-0.05', '-0.37', '-0.03', '+0.05', 1]
['-0.06', '-0.57', '-0.03', '+0.33', 0]
['-0.07', '-0.37', '-0.02', '+0.03', 1]
['-0.08', '-0.56', '-0.02', '+0.31', 0]
['-0.09', '-0.37', '-0.02', '+0.01', 1]
['-0.10', '-0.56', '-0.02', '+0.30', 0]
['-0.11', '-0.37', '-0.01', '+0.00', 1]
['-0.12', '-0.56', '-0.01', '+0.29', 0]
['-0.13', '-0.37', '-0.00', '-0.00', 1]
['-0.13', '-0.56', '-0.00', '+0.29', 0]
['-0.15', '-0.37', '+0.00', '-0.01', 1]
['-0.15', '-0.56', '+0.00', '+0.29', 0]
['-0.16', '-0.37', '+0.01', '-0.00', 1]
['-0.17', '-0.56', '+0.01', '+0.29', 0]
['-0.18', '-0.37', '+0.01', '+0.00', 1]
['-0.19', '-0.56', '+0.01', '+0.30', 0]
['-0.20', '-0.37', '+0.02', '+0.01', 1]
['-0.21', '-0.56', '+0.02', '+0.31', 0]
['-0.22', '-0.37', '+0.03', '+0.02', 1]
['-0.23', '-0.57', '+0.03', '+0.32', 0]
['-0.24', '-0.37', '+0.03', '+0.04', 1]
['-0.25', '-0.57', '+0.03', '+0.34', 0]
['-0.26', '-0.37', '+0.04', '+0.06', 1]
['-0.27', '-0.57', '+0.04', '+0.36', 0]
['-0.28', '-0.37', '+0.05', '+0.08', 1]
['-0.28', '-0.57', '+0.05', '+0.39', 0]
['-0.30', '-0.37', '+0.06', '+0.11', 1]
['-0.30', '-0.57', '+0.06', '+0.42', 0]
['-0.31', '-0.38', '+0.07', '+0.15', 1]
['-0.32', '-0.57', '+0.07', '+0.46', 0]
['-0.33', '-0.38', '+0.08', '+0.20', 1]
['-0.34', '-0.18', '+0.08', '-0.07', 1]
['-0.34', '-0.38', '+0.08', '+0.25', 0]
['-0.35', '-0.19', '+0.09', '-0.02', 1]
['-0.36', '-0.38', '+0.09', '+0.30', 0]
['-0.36', '-0.19', '+0.09', '+0.04', 1]
['-0.37', '-0.39', '+0.09', '+0.36', 0]
['-0.37', '-0.19', '+0.10', '+0.10', 1]
['-0.38', '+0.00', '+0.10', '-0.16', 1]
['-0.38', '-0.19', '+0.10', '+0.16', 0]
['-0.38', '-0.00', '+0.10', '-0.10', 1]
['-0.38', '-0.20', '+0.10', '+0.23', 0]
['-0.39', '-0.00', '+0.11', '-0.03', 1]
['-0.39', '-0.20', '+0.11', '+0.29', 0]
['-0.39', '-0.01', '+0.11', '+0.03', 1]
['-0.39', '+0.19', '+0.11', '-0.22', 1]
['-0.39', '-0.01', '+0.11', '+0.10', 0]
['-0.39', '+0.18', '+0.11', '-0.15', 1]
['-0.38', '-0.01', '+0.11', '+0.17', 0]
['-0.38', '+0.18', '+0.11', '-0.08', 1]
['-0.38', '-0.02', '+0.11', '+0.24', 0]
['-0.38', '+0.18', '+0.11', '-0.01', 1]
['-0.38', '+0.37', '+0.11', '-0.27', 1]
