['+0.01', '+0.94', '+0.68', '+0.09', '-0.01', '-0.11', '+0.00', '+0.00', 1]
['+0.15', '+0.88', '+0.61', '-0.47', '+0.13', '+0.18', '+0.00', '+0.00', 0]
['+0.15', '+0.87', '+0.61', '-0.50', '+0.14', '+0.18', '+0.00', '+0.00', 0]
['+0.16', '+0.86', '+0.61', '-0.53', '+0.15', '+0.18', '+0.00', '+0.00', 0]
['+0.16', '+0.86', '+0.61', '-0.55', '+0.16', '+0.17', '+0.00', '+0.00', 0]
['+0.17', '+0.85', '+0.61', '-0.58', '+0.16', '+0.18', '+0.00', '+0.00', 0]
['+0.18', '+0.84', '+0.62', '-0.61', '+0.17', '+0.15', '+0.00', '+0.00', 3]
['+0.18', '+0.83', '+0.62', '-0.63', '+0.18', '+0.15', '+0.00', '+0.00', 0]
['+0.19', '+0.82', '+0.62', '-0.66', '+0.19', '+0.15', '+0.00', '+0.00', 0]
['+0.20', '+0.81', '+0.62', '-0.69', '+0.19', '+0.15', '+0.00', '+0.00', 0]
['+0.20', '+0.80', '+0.62', '-0.71', '+0.20', '+0.15', '+0.00', '+0.00', 0]
['+0.21', '+0.79', '+0.62', '-0.74', '+0.21', '+0.15', '+0.00', '+0.00', 0]
['+0.21', '+0.77', '+0.62', '-0.77', '+0.21', '+0.15', '+0.00', '+0.00', 0]
['+0.22', '+0.76', '+0.60', '-0.75', '+0.22', '+0.14', '+0.00', '+0.00', 2]
['+0.23', '+0.75', '+0.58', '-0.73', '+0.23', '+0.14', '+0.00', '+0.00', 2]
['+0.23', '+0.74', '+0.59', '-0.75', '+0.23', '+0.09', '+0.00', '+0.00', 3]
['+0.24', '+0.73', '+0.57', '-0.74', '+0.24', '+0.08', '+0.00', '+0.00', 2]
['+0.24', '+0.72', '+0.54', '-0.71', '+0.24', '+0.08', '+0.00', '+0.00', 2]
['+0.25', '+0.71', '+0.52', '-0.71', '+0.24', '+0.06', '+0.00', '+0.00', 2]
['+0.25', '+0.70', '+0.52', '-0.71', '+0.25', '+0.07', '+0.00', '+0.00', 2]
['+0.26', '+0.69', '+0.50', '-0.70', '+0.25', '+0.07', '+0.00', '+0.00', 2]
['+0.26', '+0.68', '+0.48', '-0.67', '+0.26', '+0.07', '+0.00', '+0.00', 2]
['+0.27', '+0.67', '+0.47', '-0.66', '+0.26', '+0.07', '+0.00', '+0.00', 2]
['+0.27', '+0.66', '+0.46', '-0.67', '+0.26', '+0.07', '+0.00', '+0.00', 2]
['+0.28', '+0.65', '+0.43', '-0.65', '+0.26', '+0.06', '+0.00', '+0.00', 2]
['+0.28', '+0.64', '+0.42', '-0.63', '+0.27', '+0.07', '+0.00', '+0.00', 2]
['+0.29', '+0.63', '+0.39', '-0.59', '+0.27', '+0.06', '+0.00', '+0.00', 2]
['+0.29', '+0.62', '+0.37', '-0.57', '+0.27', '+0.07', '+0.00', '+0.00', 2]
['+0.29', '+0.61', '+0.34', '-0.55', '+0.28', '+0.05', '+0.00', '+0.00', 2]
['+0.30', '+0.60', '+0.31', '-0.53', '+0.28', '+0.05', '+0.00', '+0.00', 2]
['+0.30', '+0.60', '+0.31', '-0.56', '+0.28', '+0.05', '+0.00', '+0.00', 0]
['+0.30', '+0.59', '+0.28', '-0.54', '+0.28', '+0.04', '+0.00', '+0.00', 2]
['+0.30', '+0.58', '+0.28', '-0.53', '+0.29', '+0.05', '+0.00', '+0.00', 2]
['+0.31', '+0.57', '+0.26', '-0.52', '+0.29', '+0.04', '+0.00', '+0.00', 2]
['+0.31', '+0.56', '+0.25', '-0.52', '+0.29', '+0.05', '+0.00', '+0.00', 2]
['+0.31', '+0.56', '+0.24', '-0.51', '+0.29', '+0.05', '+0.00', '+0.00', 2]
['+0.31', '+0.55', '+0.23', '-0.47', '+0.30', '+0.07', '+0.00', '+0.00', 2]
['+0.32', '+0.54', '+0.23', '-0.50', '+0.30', '+0.07', '+0.00', '+0.00', 0]
['+0.32', '+0.54', '+0.22', '-0.47', '+0.31', '+0.09', '+0.00', '+0.00', 2]
['+0.32', '+0.53', '+0.20', '-0.45', '+0.31', '+0.09', '+0.00', '+0.00', 2]
['+0.32', '+0.52', '+0.21', '-0.47', '+0.31', '+0.04', '+0.00', '+0.00', 3]
['+0.33', '+0.52', '+0.20', '-0.43', '+0.31', '+0.06', '+0.00', '+0.00', 2]
['+0.33', '+0.51', '+0.20', '-0.46', '+0.32', '+0.06', '+0.00', '+0.00', 0]
['+0.33', '+0.50', '+0.17', '-0.42', '+0.32', '+0.06', '+0.00', '+0.00', 2]
['+0.33', '+0.50', '+0.17', '-0.44', '+0.32', '+0.03', '+0.00', '+0.00', 3]
['+0.33', '+0.49', '+0.15', '-0.41', '+0.32', '+0.04', '+0.00', '+0.00', 2]
['+0.33', '+0.48', '+0.14', '-0.38', '+0.33', '+0.05', '+0.00', '+0.00', 2]
['+0.34', '+0.48', '+0.15', '-0.40', '+0.33', '-0.00', '+0.00', '+0.00', 3]
['+0.34', '+0.47', '+0.10', '-0.37', '+0.33', '-0.02', '+0.00', '+0.00', 2]
['+0.34', '+0.47', '+0.10', '-0.40', '+0.32', '-0.02', '+0.00', '+0.00', 0]
['+0.34', '+0.46', '+0.08', '-0.40', '+0.32', '-0.03', '+0.00', '+0.00', 2]
['+0.34', '+0.45', '+0.04', '-0.39', '+0.32', '-0.04', '+0.00', '+0.00', 2]
['+0.34', '+0.45', '+0.03', '-0.37', '+0.32', '-0.03', '+0.00', '+0.00', 2]
['+0.34', '+0.44', '+0.02', '-0.36', '+0.32', '-0.03', '+0.00', '+0.00', 2]
['+0.34', '+0.44', '+0.02', '-0.38', '+0.32', '-0.03', '+0.00', '+0.00', 0]
['+0.34', '+0.43', '-0.01', '-0.35', '+0.32', '-0.02', '+0.00', '+0.00', 2]
['+0.34', '+0.43', '-0.00', '-0.38', '+0.31', '-0.06', '+0.00', '+0.00', 3]
['+0.34', '+0.42', '-0.03', '-0.34', '+0.31', '-0.06', '+0.00', '+0.00', 2]
['+0.34', '+0.42', '-0.06', '-0.32', '+0.31', '-0.06', '+0.00', '+0.00', 2]
['+0.34', '+0.41', '-0.06', '-0.34', '+0.30', '-0.06', '+0.00', '+0.00', 0]
['+0.34', '+0.41', '-0.07', '-0.32', '+0.30', '-0.05', '+0.00', '+0.00', 2]
['+0.34', '+0.40', '-0.06', '-0.35', '+0.30', '-0.08', '+0.00', '+0.00', 3]
['+0.34', '+0.40', '-0.09', '-0.33', '+0.29', '-0.09', '+0.00', '+0.00', 2]
['+0.33', '+0.39', '-0.13', '-0.29', '+0.29', '-0.11', '+0.00', '+0.00', 2]
['+0.33', '+0.39', '-0.13', '-0.32', '+0.28', '-0.11', '+0.00', '+0.00', 0]
['+0.33', '+0.38', '-0.16', '-0.28', '+0.28', '-0.10', '+0.00', '+0.00', 2]
['+0.33', '+0.38', '-0.16', '-0.31', '+0.27', '-0.10', '+0.00', '+0.00', 0]
['+0.33', '+0.37', '-0.16', '-0.30', '+0.27', '-0.10', '+0.00', '+0.00', 2]
['+0.33', '+0.37', '-0.19', '-0.29', '+0.26', '-0.10', '+0.00', '+0.00', 2]
['+0.32', '+0.37', '-0.19', '-0.31', '+0.26', '-0.10', '+0.00', '+0.00', 0]
['+0.32', '+0.36', '-0.19', '-0.31', '+0.25', '-0.09', '+0.00', '+0.00', 2]
['+0.32', '+0.36', '-0.20', '-0.29', '+0.25', '-0.09', '+0.00', '+0.00', 2]
['+0.32', '+0.35', '-0.19', '-0.32', '+0.24', '-0.14', '+0.00', '+0.00', 3]
['+0.32', '+0.35', '-0.20', '-0.32', '+0.23', '-0.14', '+0.00', '+0.00', 2]
['+0.31', '+0.34', '-0.23', '-0.28', '+0.23', '-0.14', '+0.00', '+0.00', 2]
['+0.31', '+0.34', '-0.26', '-0.26', '+0.22', '-0.16', '+0.00', '+0.00', 2]
['+0.31', '+0.33', '-0.26', '-0.29', '+0.21', '-0.16', '+0.00', '+0.00', 0]
['+0.31', '+0.33', '-0.28', '-0.28', '+0.20', '-0.17', '+0.00', '+0.00', 2]
['+0.30', '+0.33', '-0.29', '-0.28', '+0.19', '-0.17', '+0.00', '+0.00', 2]
['+0.30', '+0.32', '-0.31', '-0.26', '+0.19', '-0.18', '+0.00', '+0.00', 2]
['+0.30', '+0.32', '-0.31', '-0.28', '+0.18', '-0.18', '+0.00', '+0.00', 0]
['+0.29', '+0.31', '-0.32', '-0.26', '+0.17', '-0.17', '+0.00', '+0.00', 2]
['+0.29', '+0.31', '-0.35', '-0.25', '+0.16', '-0.19', '+0.00', '+0.00', 2]
['+0.29', '+0.31', '-0.35', '-0.28', '+0.15', '-0.19', '+0.00', '+0.00', 0]
['+0.28', '+0.30', '-0.36', '-0.24', '+0.14', '-0.19', '+0.00', '+0.00', 2]
['+0.28', '+0.30', '-0.36', '-0.27', '+0.13', '-0.19', '+0.00', '+0.00', 0]
['+0.27', '+0.29', '-0.38', '-0.23', '+0.12', '-0.19', '+0.00', '+0.00', 2]
['+0.27', '+0.29', '-0.38', '-0.26', '+0.11', '-0.19', '+0.00', '+0.00', 0]
['+0.27', '+0.29', '-0.39', '-0.25', '+0.10', '-0.20', '+0.00', '+0.00', 2]
['+0.26', '+0.28', '-0.40', '-0.23', '+0.09', '-0.20', '+0.00', '+0.00', 2]
['+0.26', '+0.28', '-0.40', '-0.25', '+0.08', '-0.20', '+0.00', '+0.00', 0]
['+0.25', '+0.28', '-0.39', '-0.21', '+0.07', '-0.19', '+0.00', '+0.00', 2]
['+0.25', '+0.27', '-0.39', '-0.24', '+0.06', '-0.19', '+0.00', '+0.00', 0]
['+0.25', '+0.27', '-0.38', '-0.23', '+0.05', '-0.17', '+0.00', '+0.00', 2]
['+0.24', '+0.27', '-0.38', '-0.26', '+0.04', '-0.17', '+0.00', '+0.00', 0]
['+0.24', '+0.26', '-0.37', '-0.22', '+0.04', '-0.16', '+0.00', '+0.00', 2]
['+0.23', '+0.26', '-0.37', '-0.25', '+0.03', '-0.16', '+0.00', '+0.00', 0]
['+0.23', '+0.25', '-0.38', '-0.23', '+0.02', '-0.17', '+0.00', '+0.00', 2]
['+0.23', '+0.25', '-0.40', '-0.21', '+0.01', '-0.18', '+0.00', '+0.00', 2]
['+0.22', '+0.25', '-0.40', '-0.23', '+0.00', '-0.18', '+0.00', '+0.00', 0]
['+0.22', '+0.25', '-0.41', '-0.20', '-0.01', '-0.19', '+0.00', '+0.00', 2]
['+0.21', '+0.24', '-0.41', '-0.22', '-0.02', '-0.19', '+0.00', '+0.00', 0]
['+0.21', '+0.24', '-0.41', '-0.25', '-0.03', '-0.19', '+0.00', '+0.00', 0]
['+0.21', '+0.23', '-0.43', '-0.24', '-0.04', '-0.21', '+0.00', '+0.00', 2]
['+0.20', '+0.23', '-0.44', '-0.27', '-0.04', '-0.16', '+0.00', '+0.00', 1]
['+0.20', '+0.23', '-0.44', '-0.25', '-0.05', '-0.16', '+0.00', '+0.00', 2]
['+0.19', '+0.22', '-0.42', '-0.21', '-0.06', '-0.15', '+0.00', '+0.00', 2]
['+0.19', '+0.22', '-0.42', '-0.24', '-0.07', '-0.15', '+0.00', '+0.00', 0]
['+0.18', '+0.22', '-0.40', '-0.22', '-0.07', '-0.14', '+0.00', '+0.00', 2]
['+0.18', '+0.21', '-0.41', '-0.21', '-0.08', '-0.15', '+0.00', '+0.00', 2]
['+0.18', '+0.21', '-0.40', '-0.21', '-0.09', '-0.14', '+0.00', '+0.00', 2]
['+0.17', '+0.21', '-0.40', '-0.24', '-0.10', '-0.14', '+0.00', '+0.00', 0]
['+0.17', '+0.20', '-0.39', '-0.24', '-0.10', '-0.14', '+0.00', '+0.00', 2]
['+0.16', '+0.20', '-0.37', '-0.21', '-0.11', '-0.13', '+0.00', '+0.00', 2]
['+0.16', '+0.20', '-0.36', '-0.20', '-0.12', '-0.12', '+0.00', '+0.00', 2]
['+0.16', '+0.19', '-0.36', '-0.23', '-0.12', '-0.12', '+0.00', '+0.00', 0]
['+0.15', '+0.19', '-0.35', '-0.22', '-0.13', '-0.12', '+0.00', '+0.00', 2]
['+0.15', '+0.19', '-0.34', '-0.18', '-0.13', '-0.12', '+0.00', '+0.00', 2]
['+0.15', '+0.18', '-0.35', '-0.21', '-0.14', '-0.07', '+0.00', '+0.00', 1]
['+0.14', '+0.18', '-0.33', '-0.19', '-0.14', '-0.07', '+0.00', '+0.00', 2]
['+0.14', '+0.18', '-0.33', '-0.22', '-0.14', '-0.07', '+0.00', '+0.00', 0]
['+0.14', '+0.18', '-0.31', '-0.18', '-0.15', '-0.06', '+0.00', '+0.00', 2]
['+0.13', '+0.17', '-0.31', '-0.20', '-0.15', '-0.06', '+0.00', '+0.00', 0]
['+0.13', '+0.17', '-0.31', '-0.18', '-0.15', '-0.07', '+0.00', '+0.00', 2]
['+0.13', '+0.17', '-0.31', '-0.20', '-0.16', '-0.07', '+0.00', '+0.00', 0]
['+0.12', '+0.16', '-0.29', '-0.17', '-0.16', '-0.07', '+0.00', '+0.00', 2]
['+0.12', '+0.16', '-0.29', '-0.19', '-0.16', '-0.07', '+0.00', '+0.00', 0]
['+0.12', '+0.16', '-0.29', '-0.22', '-0.17', '-0.07', '+0.00', '+0.00', 0]
['+0.12', '+0.16', '-0.26', '-0.21', '-0.17', '-0.05', '+0.00', '+0.00', 2]
['+0.11', '+0.15', '-0.25', '-0.19', '-0.17', '-0.05', '+0.00', '+0.00', 2]
['+0.11', '+0.15', '-0.25', '-0.19', '-0.18', '-0.06', '+0.00', '+0.00', 2]
['+0.11', '+0.15', '-0.23', '-0.18', '-0.18', '-0.04', '+0.00', '+0.00', 2]
['+0.11', '+0.14', '-0.23', '-0.21', '-0.18', '-0.04', '+0.00', '+0.00', 0]
['+0.10', '+0.14', '-0.22', '-0.20', '-0.18', '-0.05', '+0.00', '+0.00', 2]
['+0.10', '+0.14', '-0.21', '-0.19', '-0.18', '-0.04', '+0.00', '+0.00', 2]
['+0.10', '+0.13', '-0.22', '-0.22', '-0.19', '-0.01', '+0.00', '+0.00', 1]
['+0.10', '+0.13', '-0.19', '-0.22', '-0.19', '+0.00', '+0.00', '+0.00', 2]
['+0.10', '+0.13', '-0.20', '-0.21', '-0.19', '-0.01', '+0.00', '+0.00', 2]
['+0.09', '+0.13', '-0.20', '-0.18', '-0.19', '-0.03', '+0.00', '+0.00', 2]
['+0.09', '+0.12', '-0.18', '-0.18', '-0.19', '-0.02', '+0.00', '+0.00', 2]
['+0.09', '+0.12', '-0.17', '-0.14', '-0.19', '-0.03', '+0.00', '+0.00', 2]
['+0.09', '+0.12', '-0.18', '-0.17', '-0.19', '+0.02', '+0.00', '+0.00', 1]
['+0.09', '+0.12', '-0.18', '-0.20', '-0.19', '+0.02', '+0.00', '+0.00', 0]
['+0.08', '+0.11', '-0.19', '-0.17', '-0.19', '+0.00', '+0.00', '+0.00', 2]
['+0.08', '+0.11', '-0.18', '-0.13', '-0.19', '-0.01', '+0.00', '+0.00', 2]
['+0.08', '+0.11', '-0.18', '-0.16', '-0.19', '-0.01', '+0.00', '+0.00', 0]
['+0.08', '+0.11', '-0.18', '-0.19', '-0.19', '-0.01', '+0.00', '+0.00', 0]
['+0.08', '+0.10', '-0.15', '-0.16', '-0.19', '+0.01', '+0.00', '+0.00', 2]
['+0.08', '+0.10', '-0.14', '-0.12', '-0.19', '-0.00', '+0.00', '+0.00', 2]
['+0.07', '+0.10', '-0.14', '-0.15', '-0.19', '-0.00', '+0.00', '+0.00', 0]
['+0.07', '+0.10', '-0.14', '-0.18', '-0.19', '-0.00', '+0.00', '+0.00', 0]
['+0.07', '+0.09', '-0.12', '-0.14', '-0.19', '-0.01', '+0.00', '+0.00', 2]
['+0.07', '+0.09', '-0.13', '-0.16', '-0.19', '+0.03', '+0.00', '+0.00', 1]
['+0.07', '+0.09', '-0.13', '-0.14', '-0.19', '+0.02', '+0.00', '+0.00', 2]
['+0.07', '+0.09', '-0.13', '-0.17', '-0.19', '+0.02', '+0.00', '+0.00', 0]
['+0.07', '+0.08', '-0.11', '-0.14', '-0.18', '+0.03', '+0.00', '+0.00', 2]
['+0.07', '+0.08', '-0.11', '-0.17', '-0.18', '+0.03', '+0.00', '+0.00', 0]
['+0.06', '+0.08', '-0.12', '-0.17', '-0.18', '+0.01', '+0.00', '+0.00', 2]
['+0.06', '+0.08', '-0.11', '-0.17', '-0.18', '+0.01', '+0.00', '+0.00', 2]
['+0.06', '+0.07', '-0.12', '-0.17', '-0.18', '-0.00', '+0.00', '+0.00', 2]
['+0.06', '+0.07', '-0.10', '-0.16', '-0.18', '+0.00', '+0.00', '+0.00', 2]
['+0.06', '+0.07', '-0.09', '-0.14', '-0.18', '+0.01', '+0.00', '+0.00', 2]
['+0.06', '+0.07', '-0.10', '-0.16', '-0.18', '+0.05', '+0.00', '+0.00', 1]
['+0.06', '+0.07', '-0.07', '-0.13', '-0.18', '+0.06', '+0.00', '+0.00', 2]
['+0.06', '+0.06', '-0.06', '-0.11', '-0.17', '+0.06', '+0.00', '+0.00', 2]
['+0.06', '+0.06', '-0.06', '-0.13', '-0.17', '+0.06', '+0.00', '+0.00', 0]
['+0.06', '+0.06', '-0.05', '-0.10', '-0.17', '+0.05', '+0.00', '+0.00', 2]
['+0.06', '+0.06', '-0.05', '-0.12', '-0.16', '+0.05', '+0.00', '+0.00', 0]
['+0.06', '+0.06', '-0.05', '-0.15', '-0.16', '+0.05', '+0.00', '+0.00', 0]
['+0.06', '+0.05', '-0.03', '-0.13', '-0.16', '+0.06', '+0.00', '+0.00', 2]
['+0.06', '+0.05', '-0.01', '-0.10', '-0.16', '+0.07', '+0.00', '+0.00', 2]
['+0.06', '+0.05', '-0.01', '-0.13', '-0.15', '+0.07', '+0.00', '+0.00', 0]
['+0.06', '+0.05', '-0.01', '-0.12', '-0.15', '+0.06', '+0.00', '+0.00', 2]
['+0.06', '+0.05', '-0.01', '-0.14', '-0.15', '+0.06', '+0.00', '+0.00', 0]
['+0.06', '+0.05', '-0.00', '-0.14', '-0.14', '+0.06', '+0.00', '+0.00', 2]
['+0.06', '+0.04', '-0.00', '-0.13', '-0.14', '+0.05', '+0.00', '+0.00', 2]
['+0.06', '+0.04', '-0.01', '-0.12', '-0.14', '+0.04', '+0.00', '+0.00', 2]
['+0.06', '+0.04', '-0.01', '-0.10', '-0.14', '+0.02', '+0.00', '+0.00', 2]
['+0.06', '+0.04', '-0.02', '-0.13', '-0.14', '+0.07', '+0.00', '+0.00', 1]
['+0.05', '+0.04', '-0.03', '-0.12', '-0.13', '+0.05', '+0.00', '+0.00', 2]
['+0.05', '+0.03', '-0.03', '-0.11', '-0.13', '+0.05', '+0.00', '+0.00', 2]
['+0.05', '+0.03', '-0.02', '-0.09', '-0.13', '+0.05', '+0.00', '+0.00', 2]
['+0.05', '+0.03', '-0.02', '-0.12', '-0.13', '+0.05', '+0.00', '+0.00', 0]
['+0.05', '+0.03', '-0.00', '-0.11', '-0.12', '+0.06', '+0.00', '+0.00', 2]
['+0.05', '+0.03', '+0.01', '-0.08', '-0.12', '+0.07', '+0.00', '+0.00', 2]
['+0.05', '+0.03', '+0.01', '-0.11', '-0.12', '+0.07', '+0.00', '+0.00', 0]
['+0.05', '+0.03', '+0.02', '-0.09', '-0.11', '+0.07', '+0.00', '+0.00', 2]
['+0.06', '+0.02', '+0.02', '-0.11', '-0.11', '+0.07', '+0.00', '+0.00', 0]
['+0.06', '+0.02', '+0.04', '-0.08', '-0.11', '+0.07', '+0.00', '+0.00', 2]
['+0.06', '+0.02', '+0.04', '-0.11', '-0.10', '+0.07', '+0.00', '+0.00', 0]
['+0.06', '+0.02', '+0.05', '-0.08', '-0.10', '+0.08', '+0.00', '+0.00', 2]
['+0.06', '+0.02', '+0.05', '-0.11', '-0.09', '+0.08', '+0.00', '+0.00', 0]
['+0.06', '+0.02', '+0.08', '-0.09', '-0.09', '+0.10', '+0.00', '+0.00', 2]
['+0.06', '+0.02', '+0.09', '-0.06', '-0.08', '+0.10', '+0.00', '+0.00', 2]
['+0.06', '+0.01', '+0.09', '-0.09', '-0.08', '+0.10', '+0.00', '+0.00', 0]
['+0.06', '+0.01', '+0.10', '-0.08', '-0.07', '+0.11', '+0.00', '+0.00', 2]
['+0.06', '+0.01', '+0.10', '-0.10', '-0.07', '+0.11', '+0.00', '+0.00', 0]
['+0.06', '+0.01', '+0.10', '-0.10', '-0.06', '+0.10', '+0.00', '+0.00', 2]
['+0.06', '+0.01', '+0.09', '-0.09', '-0.06', '+0.09', '+0.00', '+0.00', 2]
['+0.06', '+0.01', '+0.09', '-0.07', '-0.05', '+0.09', '+0.00', '+0.00', 2]
['+0.07', '+0.01', '+0.09', '-0.09', '-0.05', '+0.09', '+0.00', '+0.00', 0]
['+0.07', '+0.01', '+0.08', '-0.08', '-0.05', '+0.07', '+0.00', '+0.00', 2]
['+0.07', '+0.00', '+0.09', '-0.05', '-0.04', '+0.08', '+0.00', '+0.00', 2]
['+0.07', '+0.00', '+0.09', '-0.07', '-0.04', '+0.08', '+0.00', '+0.00', 0]
['+0.07', '+0.00', '+0.10', '-0.04', '-0.03', '+0.08', '+0.00', '+0.00', 2]
['+0.07', '+0.00', '+0.10', '-0.07', '-0.03', '+0.08', '+0.00', '+0.00', 0]
['+0.07', '+0.00', '+0.10', '-0.04', '-0.02', '+0.16', '+1.00', '+0.00', 2]
['+0.07', '+0.00', '+0.10', '-0.07', '-0.01', '+0.23', '+1.00', '+0.00', 0]
['+0.07', '-0.00', '+0.10', '-0.09', '+0.01', '+0.30', '+1.00', '+0.00', 0]
['+0.07', '-0.00', '+0.09', '-0.07', '+0.02', '+0.23', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.08', '-0.04', '+0.02', '+0.15', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.07', '-0.02', '+0.03', '+0.08', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.06', '-0.00', '+0.03', '+0.01', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.05', '+0.02', '+0.03', '-0.05', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.04', '+0.03', '+0.02', '-0.11', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.04', '+0.04', '+0.02', '-0.12', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.04', '+0.04', '+0.01', '-0.12', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.04', '+0.03', '+0.00', '-0.11', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.04', '+0.03', '-0.00', '-0.09', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.03', '+0.00', '-0.00', '-0.01', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.03', '-0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.02', '-0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.02', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.01', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.01', '-0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.00', '-0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '-0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.08', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00', 0]
