['+0.10', '+0.42', '-0.12', '-0.39', 1]
['+0.14', '+0.60', '-0.09', '-0.05', 0]
['+0.15', '+0.79', '-0.09', '-0.37', 1]
['+0.17', '+0.60', '-0.10', '-0.11', 0]
['+0.18', '+0.80', '-0.10', '-0.43', 1]
['+0.20', '+0.60', '-0.11', '-0.17', 0]
['+0.21', '+0.80', '-0.11', '-0.50', 1]
['+0.22', '+0.61', '-0.12', '-0.24', 0]
['+0.24', '+0.41', '-0.13', '+0.01', 0]
['+0.25', '+0.61', '-0.13', '-0.32', 1]
['+0.26', '+0.42', '-0.13', '-0.07', 0]
['+0.27', '+0.61', '-0.14', '-0.40', 1]
['+0.28', '+0.42', '-0.14', '-0.16', 0]
['+0.29', '+0.62', '-0.15', '-0.49', 1]
['+0.30', '+0.42', '-0.16', '-0.25', 0]
['+0.31', '+0.23', '-0.16', '-0.01', 0]
['+0.31', '+0.43', '-0.16', '-0.35', 1]
['+0.32', '+0.24', '-0.17', '-0.11', 0]
['+0.33', '+0.04', '-0.17', '+0.12', 0]
['+0.33', '+0.24', '-0.17', '-0.22', 1]
['+0.33', '+0.05', '-0.17', '+0.02', 0]
['+0.33', '+0.25', '-0.17', '-0.32', 1]
['+0.34', '+0.05', '-0.18', '-0.09', 0]
['+0.34', '-0.14', '-0.18', '+0.14', 0]
['+0.33', '+0.06', '-0.18', '-0.20', 1]
['+0.34', '-0.13', '-0.18', '+0.03', 0]
['+0.33', '-0.33', '-0.18', '+0.26', 0]
['-0.03', '-0.24', '-0.00', '+0.30', 0]
['-0.04', '-0.05', '+0.00', '+0.00', 1]
['-0.04', '-0.24', '+0.00', '+0.30', 0]
['-0.04', '-0.05', '+0.01', '+0.00', 1]
['-0.05', '-0.24', '+0.01', '+0.30', 0]
['-0.05', '-0.05', '+0.01', '+0.01', 1]
['-0.05', '+0.15', '+0.02', '-0.28', 1]
['-0.05', '-0.05', '+0.01', '+0.02', 0]
['-0.05', '+0.15', '+0.01', '-0.27', 1]
['-0.05', '-0.05', '+0.00', '+0.03', 0]
['-0.05', '+0.15', '+0.01', '-0.27', 1]
['-0.04', '-0.05', '-0.00', '+0.03', 0]
['-0.05', '+0.15', '+0.00', '-0.26', 1]
['-0.04', '-0.05', '-0.00', '+0.03', 0]
['-0.04', '+0.15', '-0.00', '-0.27', 1]
['-0.04', '-0.05', '-0.01', '+0.03', 0]
['-0.04', '+0.15', '-0.01', '-0.27', 1]
['-0.04', '-0.05', '-0.01', '+0.02', 0]
['-0.04', '+0.15', '-0.01', '-0.28', 1]
['-0.04', '-0.05', '-0.02', '+0.01', 0]
['-0.04', '-0.24', '-0.02', '+0.30', 0]
['-0.04', '-0.05', '-0.01', '-0.00', 1]
['-0.04', '-0.24', '-0.01', '+0.29', 0]
['-0.05', '-0.05', '-0.01', '-0.01', 1]
['-0.05', '-0.24', '-0.01', '+0.28', 0]
['-0.05', '-0.04', '-0.00', '-0.02', 1]
['-0.05', '-0.24', '-0.00', '+0.28', 0]
['-0.06', '-0.04', '+0.00', '-0.02', 1]
['-0.06', '-0.24', '+0.00', '+0.28', 0]
['-0.06', '-0.04', '+0.01', '-0.02', 1]
['-0.07', '-0.24', '+0.01', '+0.28', 0]
['-0.07', '-0.05', '+0.01', '-0.01', 1]
['-0.07', '-0.24', '+0.01', '+0.29', 0]
['-0.08', '-0.05', '+0.02', '-0.00', 1]
['-0.08', '-0.24', '+0.02', '+0.30', 0]
['-0.08', '-0.05', '+0.02', '+0.01', 1]
['-0.08', '+0.15', '+0.02', '-0.28', 1]
['-0.08', '-0.05', '+0.02', '+0.03', 0]
['-0.08', '+0.15', '+0.02', '-0.26', 1]
['-0.08', '-0.05', '+0.01', '+0.04', 0]
['-0.08', '+0.15', '+0.02', '-0.25', 1]
['-0.08', '-0.05', '+0.01', '+0.05', 0]
['-0.08', '+0.15', '+0.01', '-0.24', 1]
['-0.07', '-0.05', '+0.01', '+0.05', 0]
['-0.07', '+0.15', '+0.01', '-0.24', 1]
['-0.07', '-0.05', '+0.00', '+0.06', 0]
['-0.07', '+0.15', '+0.00', '-0.23', 1]
['-0.07', '-0.05', '-0.00', '+0.06', 0]
['-0.07', '+0.15', '+0.00', '-0.23', 1]
['-0.07', '-0.05', '-0.00', '+0.06', 0]
['-0.07', '+0.15', '-0.00', '-0.23', 1]
['-0.07', '-0.05', '-0.01', '+0.06', 0]
['-0.07', '+0.15', '-0.01', '-0.24', 1]
['-0.06', '-0.05', '-0.01', '+0.05', 0]
['-0.07', '+0.15', '-0.01', '-0.24', 1]
['-0.06', '-0.05', '-0.01', '+0.05', 0]
['-0.06', '+0.15', '-0.01', '-0.25', 1]
['-0.06', '-0.05', '-0.02', '+0.04', 0]
['-0.06', '+0.15', '-0.02', '-0.26', 1]
['-0.06', '-0.05', '-0.02', '+0.03', 0]
['-0.06', '+0.15', '-0.02', '-0.27', 1]
['-0.06', '-0.05', '-0.03', '+0.01', 0]
['-0.06', '-0.24', '-0.03', '+0.30', 0]
['-0.06', '-0.05', '-0.02', '-0.01', 1]
['-0.06', '-0.24', '-0.02', '+0.28', 0]
['-0.07', '-0.04', '-0.02', '-0.02', 1]
['-0.07', '-0.24', '-0.02', '+0.27', 0]
['-0.07', '-0.04', '-0.01', '-0.03', 1]
['-0.07', '-0.24', '-0.01', '+0.26', 0]
['-0.08', '-0.04', '-0.01', '-0.04', 1]
['-0.08', '-0.24', '-0.01', '+0.25', 0]
['-0.08', '-0.04', '-0.00', '-0.04', 1]
['-0.09', '-0.24', '-0.00', '+0.25', 0]
['-0.09', '-0.04', '+0.00', '-0.05', 1]
['-0.09', '-0.24', '+0.00', '+0.25', 0]
['-0.10', '-0.04', '+0.01', '-0.05', 1]
['-0.10', '-0.24', '+0.00', '+0.25', 0]
['-0.10', '-0.04', '+0.01', '-0.04', 1]
['-0.10', '-0.24', '+0.01', '+0.25', 0]
['-0.11', '-0.04', '+0.01', '-0.04', 1]
['-0.11', '-0.24', '+0.01', '+0.26', 0]
['-0.11', '-0.04', '+0.02', '-0.03', 1]
['-0.11', '-0.24', '+0.02', '+0.27', 0]
['-0.12', '-0.04', '+0.02', '-0.02', 1]
['-0.12', '-0.24', '+0.02', '+0.28', 0]
['-0.12', '-0.05', '+0.03', '-0.00', 1]
['-0.13', '-0.24', '+0.03', '+0.30', 0]
['-0.13', '-0.05', '+0.03', '+0.01', 1]
['-0.13', '+0.15', '+0.03', '-0.27', 1]
['-0.13', '-0.05', '+0.03', '+0.04', 0]
['-0.13', '+0.15', '+0.03', '-0.25', 1]
['-0.13', '-0.05', '+0.02', '+0.05', 0]
['-0.13', '+0.15', '+0.03', '-0.23', 1]
['-0.12', '-0.05', '+0.02', '+0.07', 0]
['-0.12', '+0.15', '+0.02', '-0.22', 1]
['-0.12', '-0.05', '+0.02', '+0.08', 0]
['-0.12', '+0.15', '+0.02', '-0.20', 1]
['-0.12', '-0.05', '+0.02', '+0.10', 0]
['-0.12', '+0.14', '+0.02', '-0.19', 1]
['-0.12', '-0.05', '+0.01', '+0.11', 0]
['-0.12', '+0.14', '+0.02', '-0.18', 1]
['-0.12', '-0.05', '+0.01', '+0.12', 0]
['-0.12', '+0.14', '+0.01', '-0.17', 1]
['-0.11', '-0.05', '+0.01', '+0.12', 0]
['-0.12', '+0.14', '+0.01', '-0.16', 1]
['-0.11', '-0.05', '+0.01', '+0.13', 0]
['-0.11', '+0.14', '+0.01', '-0.16', 1]
['-0.11', '-0.05', '+0.01', '+0.14', 0]
['-0.11', '+0.14', '+0.01', '-0.15', 1]
['-0.11', '-0.05', '+0.01', '+0.15', 0]
['-0.11', '+0.14', '+0.01', '-0.14', 1]
['-0.11', '-0.05', '+0.01', '+0.15', 0]
['-0.11', '+0.14', '+0.01', '-0.14', 1]
['-0.11', '-0.05', '+0.01', '+0.16', 0]
['-0.11', '+0.14', '+0.01', '-0.13', 1]
['-0.10', '-0.05', '+0.01', '+0.17', 0]
['-0.10', '+0.14', '+0.01', '-0.12', 1]
['-0.10', '-0.05', '+0.01', '+0.18', 0]
['-0.10', '+0.14', '+0.02', '-0.11', 1]
['-0.10', '-0.05', '+0.01', '+0.19', 0]
['-0.10', '+0.14', '+0.02', '-0.10', 1]
['-0.10', '-0.05', '+0.01', '+0.20', 0]
['-0.10', '+0.14', '+0.02', '-0.09', 1]
['-0.10', '-0.05', '+0.02', '+0.21', 0]
['-0.10', '+0.14', '+0.02', '-0.08', 1]
['-0.09', '-0.06', '+0.02', '+0.22', 0]
['-0.10', '+0.14', '+0.02', '-0.07', 1]
['-0.09', '-0.06', '+0.02', '+0.23', 0]
['-0.09', '+0.14', '+0.03', '-0.05', 1]
['-0.09', '-0.06', '+0.03', '+0.25', 0]
['-0.09', '+0.14', '+0.03', '-0.04', 1]
['-0.09', '+0.33', '+0.03', '-0.32', 1]
['-0.08', '+0.14', '+0.02', '-0.02', 0]
['-0.08', '+0.33', '+0.02', '-0.30', 1]
['-0.07', '+0.14', '+0.02', '-0.00', 0]
['-0.07', '+0.33', '+0.02', '-0.29', 1]
['-0.06', '+0.14', '+0.01', '+0.01', 0]
['-0.06', '+0.33', '+0.01', '-0.28', 1]
['-0.06', '+0.14', '+0.01', '+0.02', 0]
['-0.05', '+0.33', '+0.01', '-0.28', 1]
['-0.05', '+0.14', '+0.00', '+0.02', 0]
['-0.04', '+0.33', '+0.00', '-0.27', 1]
['-0.04', '+0.14', '-0.00', '+0.02', 0]
['-0.03', '+0.33', '-0.00', '-0.27', 1]
['-0.03', '+0.14', '-0.01', '+0.02', 0]
['-0.02', '+0.33', '-0.01', '-0.28', 1]
['-0.02', '+0.14', '-0.01', '+0.01', 0]
['-0.02', '+0.33', '-0.01', '-0.28', 1]
['-0.01', '+0.14', '-0.02', '+0.00', 0]
['-0.01', '+0.33', '-0.02', '-0.30', 1]
['+0.00', '+0.14', '-0.03', '-0.01', 0]
['+0.00', '+0.33', '-0.03', '-0.31', 1]
['+0.01', '+0.14', '-0.03', '-0.03', 0]
['+0.01', '-0.06', '-0.03', '+0.26', 0]
['+0.01', '+0.14', '-0.03', '-0.05', 1]
['+0.01', '-0.06', '-0.03', '+0.24', 0]
['+0.01', '+0.14', '-0.02', '-0.06', 1]
['+0.02', '-0.06', '-0.02', '+0.22', 0]
['+0.02', '+0.14', '-0.02', '-0.08', 1]
['+0.02', '-0.06', '-0.02', '+0.21', 0]
['+0.02', '+0.14', '-0.02', '-0.09', 1]
['+0.02', '-0.05', '-0.02', '+0.20', 0]
['+0.02', '+0.14', '-0.02', '-0.10', 1]
['+0.02', '-0.05', '-0.02', '+0.18', 0]
['+0.02', '+0.14', '-0.01', '-0.11', 1]
['+0.02', '-0.05', '-0.02', '+0.17', 0]
['+0.02', '+0.14', '-0.01', '-0.12', 1]
['+0.02', '-0.05', '-0.02', '+0.17', 0]
['+0.02', '+0.14', '-0.01', '-0.13', 1]
['+0.03', '-0.05', '-0.01', '+0.16', 0]
['+0.03', '+0.14', '-0.01', '-0.14', 1]
['+0.03', '-0.05', '-0.01', '+0.15', 0]
['+0.03', '+0.14', '-0.01', '-0.15', 1]
['+0.03', '-0.05', '-0.01', '+0.14', 0]
['+0.03', '+0.14', '-0.01', '-0.16', 1]
['+0.03', '-0.05', '-0.01', '+0.13', 0]
['+0.03', '+0.14', '-0.01', '-0.17', 1]
['+0.03', '-0.05', '-0.02', '+0.12', 0]
['+0.03', '+0.14', '-0.01', '-0.17', 1]
['+0.04', '-0.05', '-0.02', '+0.11', 0]
['+0.03', '+0.14', '-0.01', '-0.18', 1]
['+0.04', '-0.05', '-0.02', '+0.11', 0]
['+0.04', '+0.14', '-0.02', '-0.19', 1]
['+0.04', '-0.05', '-0.02', '+0.09', 0]
['+0.04', '+0.15', '-0.02', '-0.20', 1]
['+0.04', '-0.05', '-0.02', '+0.08', 0]
['+0.04', '+0.15', '-0.02', '-0.22', 1]
['+0.04', '-0.05', '-0.02', '+0.07', 0]
['+0.04', '+0.15', '-0.02', '-0.23', 1]
['+0.05', '-0.05', '-0.03', '+0.06', 0]
['+0.04', '+0.15', '-0.03', '-0.25', 1]
['+0.05', '-0.05', '-0.03', '+0.04', 0]
['+0.05', '+0.15', '-0.03', '-0.26', 1]
['+0.05', '-0.05', '-0.04', '+0.02', 0]
['+0.05', '-0.24', '-0.04', '+0.30', 0]
['+0.04', '-0.05', '-0.03', '-0.00', 1]
['+0.04', '-0.24', '-0.03', '+0.28', 0]
['+0.04', '-0.04', '-0.02', '-0.02', 1]
['+0.04', '-0.24', '-0.02', '+0.26', 0]
['+0.03', '-0.04', '-0.02', '-0.04', 1]
['+0.01', '+0.17', '+0.03', '-0.23', 1]
['+0.01', '-0.03', '+0.03', '+0.07', 0]
['+0.01', '+0.17', '+0.03', '-0.22', 1]
['+0.02', '-0.03', '+0.02', '+0.09', 0]
['+0.02', '+0.17', '+0.03', '-0.20', 1]
['+0.02', '-0.03', '+0.02', '+0.10', 0]
['+0.02', '+0.17', '+0.02', '-0.18', 1]
['+0.02', '-0.03', '+0.02', '+0.12', 0]
['+0.02', '+0.17', '+0.02', '-0.17', 1]
['+0.03', '-0.03', '+0.02', '+0.13', 0]
['+0.03', '+0.17', '+0.02', '-0.16', 1]
['+0.03', '-0.03', '+0.02', '+0.14', 0]
['+0.03', '+0.17', '+0.02', '-0.15', 1]
['+0.03', '-0.03', '+0.02', '+0.15', 0]
['+0.03', '+0.17', '+0.02', '-0.13', 1]
['+0.03', '-0.03', '+0.02', '+0.17', 0]
['+0.03', '+0.16', '+0.02', '-0.12', 1]
['+0.04', '-0.03', '+0.02', '+0.18', 0]
['+0.04', '+0.16', '+0.02', '-0.11', 1]
['+0.04', '-0.03', '+0.02', '+0.19', 0]
['+0.04', '+0.16', '+0.02', '-0.09', 1]
['+0.04', '+0.36', '+0.02', '-0.38', 1]
['+0.05', '+0.16', '+0.02', '-0.08', 0]
['+0.05', '+0.36', '+0.01', '-0.37', 1]
['+0.06', '+0.16', '+0.01', '-0.07', 0]
['+0.06', '+0.36', '+0.00', '-0.36', 1]
['+0.07', '+0.16', '-0.00', '-0.07', 0]
['+0.07', '+0.36', '-0.00', '-0.36', 1]
['+0.08', '+0.16', '-0.01', '-0.07', 0]
['+0.08', '+0.36', '-0.01', '-0.37', 1]
['+0.09', '+0.16', '-0.02', '-0.08', 0]
['+0.09', '+0.36', '-0.02', '-0.38', 1]
['+0.10', '+0.16', '-0.03', '-0.09', 0]
['+0.10', '-0.03', '-0.03', '+0.19', 0]
['+0.10', '+0.16', '-0.03', '-0.11', 1]
['+0.11', '-0.03', '-0.03', '+0.18', 0]
['+0.11', '+0.16', '-0.03', '-0.13', 1]
['+0.11', '-0.03', '-0.03', '+0.16', 0]
['+0.11', '+0.17', '-0.02', '-0.14', 1]
['+0.11', '-0.03', '-0.03', '+0.14', 0]
['+0.11', '+0.17', '-0.02', '-0.16', 1]
['+0.12', '-0.03', '-0.03', '+0.13', 0]
['+0.11', '+0.17', '-0.03', '-0.17', 1]
['+0.12', '-0.03', '-0.03', '+0.11', 0]
['+0.12', '+0.17', '-0.03', '-0.19', 1]
['+0.12', '-0.03', '-0.03', '+0.09', 0]
['+0.12', '+0.17', '-0.03', '-0.21', 1]
['+0.12', '-0.03', '-0.03', '+0.07', 0]
['+0.12', '+0.17', '-0.03', '-0.23', 1]
['+0.13', '-0.03', '-0.04', '+0.05', 0]
['+0.13', '+0.17', '-0.03', '-0.25', 1]
['+0.13', '-0.02', '-0.04', '+0.03', 0]
['+0.13', '+0.17', '-0.04', '-0.27', 1]
['+0.13', '-0.02', '-0.04', '+0.01', 0]
['+0.13', '+0.17', '-0.04', '-0.30', 1]
['+0.14', '-0.02', '-0.05', '-0.02', 0]
['+0.13', '+0.17', '-0.05', '-0.33', 1]
['+0.14', '-0.02', '-0.06', '-0.05', 0]
['+0.14', '-0.21', '-0.06', '+0.22', 0]
['+0.13', '-0.02', '-0.05', '-0.09', 1]
['+0.13', '-0.21', '-0.06', '+0.19', 0]
['+0.13', '-0.02', '-0.05', '-0.12', 1]
['+0.13', '-0.21', '-0.05', '+0.15', 0]
['+0.12', '-0.02', '-0.05', '-0.16', 1]
['+0.12', '-0.21', '-0.05', '+0.12', 0]
['+0.12', '-0.01', '-0.05', '-0.19', 1]
['+0.12', '-0.21', '-0.06', '+0.09', 0]
['+0.12', '-0.01', '-0.05', '-0.22', 1]
['+0.12', '-0.21', '-0.06', '+0.05', 0]
['+0.11', '-0.01', '-0.06', '-0.26', 1]
['+0.11', '-0.21', '-0.06', '+0.01', 0]
['+0.11', '-0.40', '-0.06', '+0.29', 0]
['+0.10', '-0.20', '-0.06', '-0.03', 1]
['+0.09', '-0.40', '-0.06', '+0.25', 0]
['+0.09', '-0.20', '-0.05', '-0.06', 1]
['+0.08', '-0.40', '-0.05', '+0.21', 0]
['+0.07', '-0.20', '-0.05', '-0.09', 1]
['+0.07', '-0.39', '-0.05', '+0.18', 0]
['+0.06', '-0.20', '-0.05', '-0.13', 1]
['+0.06', '-0.39', '-0.05', '+0.15', 0]
['+0.05', '-0.20', '-0.05', '-0.16', 1]
['+0.05', '-0.39', '-0.05', '+0.12', 0]
['+0.04', '-0.20', '-0.05', '-0.19', 1]
['+0.04', '-0.39', '-0.05', '+0.09', 0]
['+0.03', '-0.19', '-0.05', '-0.22', 1]
['+0.02', '-0.39', '-0.05', '+0.06', 0]
['+0.02', '-0.58', '-0.05', '+0.33', 0]
['+0.00', '-0.39', '-0.05', '+0.02', 1]
['-0.00', '-0.58', '-0.05', '+0.30', 0]
['-0.02', '-0.39', '-0.04', '-0.01', 1]
['-0.02', '-0.58', '-0.04', '+0.27', 0]
['-0.03', '-0.38', '-0.03', '-0.03', 1]
['-0.04', '-0.58', '-0.04', '+0.25', 0]
['-0.05', '-0.38', '-0.03', '-0.05', 1]
['-0.06', '-0.58', '-0.03', '+0.23', 0]
['-0.07', '-0.38', '-0.03', '-0.07', 1]
['-0.08', '-0.58', '-0.03', '+0.21', 0]
['-0.09', '-0.38', '-0.02', '-0.09', 1]
